,Name,Code,ICAO
195,Air65 Aviation,,FGB
196,AirACT,9T,RUN
197,AirAsia,AK,AXM
198,AirAsia Cambodia,KT,CAM
199,AirAsia X,D7,XAX
200,AirBlue,PA,ABQ
201,AirBridgeCargo Airlines,RU,ABW
202,Airbus,,AIB
203,Airbus Beluga Transport,,BCO
204,Airbus Transport International,4Y,BGA
205,Aircalin,SB,ACI
206,AirConnect,KS,KON
207,Aircraft Management Group,,RVJ
208,Aireon Canada,,AEN
209,Airest,,AEG
210,AirExplore,ED,AXE
211,Airfast Indonesia,FS,AFE
212,AirGO Private Airline,,XGO
213,Airhub Airlines,RE,GJM
214,Airkenya Express,P2,XAK
215,Airlec Air Espace,,ARL
216,Airlift,,ALI
217,Airlift International,,AIR
218,Airlink,,JAR
219,Airlink,4Z,LNK
220,AirMaster,MR,RMX
221,Airmax,,MMX
222,AirNet,,USC
223,Airnorth,TL,ANO
224,Airpac Airlines,,APC
225,AirPink,,PNK
226,AirSERBIA,JU,ASL
227,AirSF Flight Services,,XSN
228,AirShare,,XSR
229,AirSial,PF,SIF
230,AirSmart,,XSM
231,AirSprint,,ASP
232,Airstream,,AQS
233,AirSWIFT,T6,ATX
234,AirTanker,9L,TOW
235,Airtask,,DCT
236,AirTraffic,,ATY
237,Airwaze,,WZE
238,Airwork,,AWK
239,AIS Airlines,,PNX
240,Aitheras Aviation Group,,PXG
241,AIX Connect,I5,IAD
242,AJet,VF,TKJ
243,Akasa Air,QP,AKJ
244,Al-Atheer Aviation,,ATE
245,Alante Air Charter,,SVL
246,Alaska Airlines,AS,ASA
247,Alaska Central Express,KO,AER
248,AlbaStar,,LAV
249,Albatros Airlines,G0,GAL
250,Albawings,2B,AWT
251,Albinati Aeronautics,,LUC
252,Albinati Aviation,,ULC
253,Alexandria Airlines,DQ,KHH
254,Alexjets San Marino,,AXJ
255,Alfa Airlines,5E,AAJ
256,Algonquin Airlink,,FSY
257,Alidaunia,D4,LID
258,Aliserio,,TJD
259,ALK Airlines,,VBB
260,Alkan Air,,ALN
261,Alkan Air,,AKN
262,All Nippon Airways,NH,ANA
263,Allegiant Air,G4,AAY
264,Alliance Air,9I,LLR
265,Alliance Airlines,QQ,UTY
266,Alliance Executive Jets,,ALE
267,Allied Air,4W,AJK
268,AlMasria Universal Airlines,UJ,LMU
269,Aloha Air Cargo,KH,AAH
270,AlpAvia,AL,APP
271,Alpha Aviation,,AAO
272,Alphaland Aviation,,BIC
273,AlphaSky,AS,JAG
274,Alpi Jets,,ALX
275,Alpine Air Express,5A,AIP
276,Alpine Flightservice,,FSE
277,Alrosa,6R,DRU
278,Altagna,,AGH
279,Altius Aviation,,STY
280,Amakusa Airlines,MZ,AHX
281,AMC Airlines,,AMV
282,AMC Aviation,,AMQ
283,Amelia,8R,AIA
284,Amelia International,NL,AEH
285,American Air Charter,,GTW
286,American Airlines,AA,AAL
287,American Jet,,AJB
288,American Jet International,,SCM
289,Ameriflight,A8,AMF
290,Amerijet International,M6,AJT
291,Ameristar,7Z,AJI
292,AMREF Flying Doctors,,FDS
293,AMS Airlines,,GEO
294,ANA Wings,EH,AKX
295,Anap Jets,,AJP
296,Anderson Air,,ADS
297,Andes Lineas Aereas,O4,ANS
298,Angara Airlines,,AGU
299,Anguilla Air Services,Q3,AXL
300,Animawings,A2,AWG
301,Antonov Airlines,,ADB
302,APG Airlines,GP,RIV
303,Arajet,DM,DWI
304,Arc en Ciel,,JMS
305,Archer Air,,AXR
306,Arcus Air,,AZE
307,Argentina - Air Force,,FAG
308,Ariana Afghan Airlines,FG,AFG
309,Ariella,EL,RIE
310,Arik Air,W3,ARA
311,Arkhangelsk Airlines,,OAO
312,Arkia Israeli Airlines,IZ,AIZ
313,Armenia Airways,6A,AMW
314,Armenian Airlines,JI,AAG
315,Aruba Airlines,AG,ARU
316,ASAS Linhas Aereas,,CEU
317,Ascend Airways,,SYG
318,ASG Business Aviation,,ESW
319,Asia Cargo Airlines,GM,TMG
320,Asia Pacific Airlines,P9,MGE
321,Asia Sky Lines,,LIC
322,Asia Union Airlines,,AUV
