,icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,true_track,vertical_rate,sensors,geo_altitude,squawk,spi,position_source,category
0,4b1815,SWR9YP  ,Switzerland,1714315493.0,1714315493,1.1512,50.6231,8008.62,False,184.79,315.0,-8.45,,7863.84,3027,False,0,0
1,a09281,N136LM  ,United States,1714315492.0,1714315493,-85.0397,34.4082,1676.4,False,44.09,138.31,-0.98,,1805.94,,False,0,0
2,e8027b,LAN535  ,Chile,1714314735.0,1714315493,-76.7623,-13.7006,9220.2,False,255.43,165.18,0.0,,9875.52,,False,0,0
3,ac96b8,AAL622  ,United States,1714315493.0,1714315494,-73.408,41.3631,8534.4,False,237.07,238.76,0.0,,8816.34,1464,False,0,0
4,e8027e,LPE2119 ,Chile,1714315073.0,1714315484,-75.8865,-12.9353,8161.02,False,239.33,131.95,3.25,,8602.98,,False,0,0
5,a5cb05,N4721B  ,United States,1714315494.0,1714315494,-82.0581,28.3314,670.56,False,47.7,253.72,-0.33,,754.38,,False,0,0
6,aa3cbd,N759P   ,United States,1714315492.0,1714315492,-81.679,41.2259,701.04,False,83.46,18.32,-0.33,,746.76,5550,False,0,0
7,aa56db,UAL2331 ,United States,1714315494.0,1714315494,-78.7774,36.144,10058.4,False,214.4,39.84,0.0,,10431.78,2477,False,0,0
8,a7b08d,LXJ595  ,United States,1714315494.0,1714315494,-73.7107,42.9531,5478.78,False,165.09,278.96,-5.53,,5623.56,,False,0,0
9,a22258,N23685  ,United States,1714315493.0,1714315493,-78.9704,36.5795,1249.68,False,80.98,216.21,0.0,,1341.12,,False,0,0
10,7c6b2d,JST988  ,Australia,1714315493.0,1714315493,116.1147,-31.7618,853.44,False,148.4,285.48,-4.55,,975.36,3633,False,0,0
11,a808bb,N61697  ,United States,1714315491.0,1714315492,-81.5743,27.8534,1371.6,False,52.43,344.05,1.63,,1440.18,,False,0,0
12,48d254,SPWTW   ,Poland,1714315419.0,1714315419,23.229,51.3483,2590.8,False,82.35,324.92,0.0,,2727.96,,False,0,0
13,88044d,AIQ3444 ,Thailand,1714315221.0,1714315232,99.552,17.5402,8709.66,False,235.42,162.32,6.18,,9342.12,,False,0,0
14,801641,AXB1596 ,India,1714315493.0,1714315493,77.3599,13.0221,7399.02,False,200.29,272.36,5.2,,7833.36,,False,0,0
15,ade191,DAL2473 ,United States,1714315493.0,1714315494,-80.9086,40.721,9144.0,False,216.27,297.17,0.0,,9486.9,2641,False,0,0
16,801640,AIC802  ,India,1714315493.0,1714315493,77.6949,14.6213,10980.42,False,232.86,3.04,0.0,,11673.84,,False,0,0
17,a665b9,LXJ511  ,United States,1714315493.0,1714315493,-81.3886,30.3802,13716.0,False,234.4,356.98,-0.65,,14157.96,,False,0,0
18,880459,AIQ3259 ,Thailand,1714315494.0,1714315494,101.5368,14.8896,6713.22,False,221.04,217.91,-18.86,,7246.62,,False,0,0
19,801643,AXB1643 ,India,1714315493.0,1714315493,80.6825,14.015,8755.38,False,211.99,222.05,-4.55,,9311.64,,False,0,0
20,880453,AIQ523  ,Thailand,1714315148.0,1714315207,100.8531,12.1273,10972.8,False,239.26,227.7,0.0,,11803.38,,False,0,0
21,80162e,VTI813  ,India,1714315494.0,1714315494,78.3071,14.9592,10668.0,False,237.11,188.36,0.0,,11346.18,,False,0,0
22,a678e5,JTZ516  ,United States,1714315492.0,1714315492,-115.1603,36.0996,,True,0.0,112.5,,,,,False,0,0
23,e49405,GLO7682 ,Brazil,1714315474.0,1714315480,-56.4218,-33.0492,11582.4,False,188.5,223.45,0.33,,12024.36,,False,0,0
24,a34230,EJA309  ,United States,1714315493.0,1714315494,-74.5197,39.8404,7345.68,False,195.97,220.42,10.08,,7620.0,3040,False,0,0
25,a21b85,EPI235  ,United States,1714315493.0,1714315493,-81.2103,28.9698,822.96,False,42.97,106.7,-0.98,,891.54,,False,0,0
26,4b1805,SWR5KP  ,Switzerland,1714315493.0,1714315493,5.5228,52.0591,4610.1,False,181.54,135.8,8.78,,4594.86,1000,False,0,0
27,39d228,FHURI   ,France,1714315493.0,1714315493,8.6708,40.1294,3352.8,False,96.62,352.04,0.0,,3512.82,,False,0,0
28,a34e6a,ENY3650 ,United States,1714315493.0,1714315493,-81.519,26.1237,5745.48,False,195.57,115.89,-8.78,,6057.9,4013,False,0,0
29,4b1806,SWR210A ,Switzerland,1714315493.0,1714315493,6.3724,46.2779,2529.84,False,137.51,45.61,-3.9,,2621.28,1000,False,0,0
30,aa56d4,UAL1306 ,United States,1714315493.0,1714315493,-77.4582,43.0365,10972.8,False,199.65,271.18,0.65,,11277.6,3462,False,0,0
31,a90ea8,DAL2343 ,United States,1714315493.0,1714315493,-81.7474,27.6501,9738.36,False,234.28,323.48,0.0,,10157.46,6054,False,0,0
32,4b1807,SWR175D ,Switzerland,1714315493.0,1714315493,12.0635,55.1719,5471.16,False,167.03,215.6,10.08,,5539.74,5662,False,0,0
33,4b1809,SWR9TG  ,Switzerland,1714315470.0,1714315493,8.5557,47.4544,388.62,True,0.0,185.62,,,,2000,False,0,0
34,51111e,JAF9MH  ,Estonia,1714315494.0,1714315494,0.7947,48.4796,10675.62,False,203.63,232.49,0.0,,10546.08,7143,False,0,0
35,801647,IGO277W ,India,1714315483.0,1714315483,79.4371,27.3508,10668.0,False,281.55,113.47,0.0,,11132.82,,False,0,0
36,4b1800,SWR1958 ,Switzerland,1714315494.0,1714315494,5.5038,44.4228,10668.0,False,184.86,210.06,0.0,,10797.54,3042,False,0,0
37,4b1801,SWR2MX  ,Switzerland,1714315493.0,1714315494,8.9728,47.4664,2446.02,False,102.91,204.52,-6.18,,2552.7,1000,False,0,0
38,ab63b7,,United States,,1714315490,,,,False,85.9,33.02,0.0,,,,False,0,0
39,aa9f3f,SWA4128 ,United States,1714315494.0,1714315494,-112.0005,33.5645,2491.74,False,127.72,237.33,-6.18,,2545.08,3602,False,0,0
40,4952cb,TAP782  ,Portugal,1714315493.0,1714315493,3.848,51.0809,11269.98,False,254.17,35.94,0.0,,11186.16,1165,False,0,0
41,80163f,VTI722  ,India,1714315494.0,1714315494,78.8079,28.0031,5151.12,False,194.98,292.17,-10.4,,5356.86,,False,0,0
42,acdfa0,WUP929  ,United States,1714315161.0,1714315492,-80.9203,37.7908,8724.9,False,209.08,233.81,0.0,,8999.22,1716,False,0,0
43,a928ba,CWG69   ,United States,1714315494.0,1714315494,-11.3741,53.2484,8702.04,False,205.62,290.66,2.28,,8526.78,,False,0,0
44,acdfa3,ASA458  ,United States,1714315494.0,1714315494,-107.1583,40.7727,10972.8,False,227.21,255.71,0.0,,10995.66,7056,False,0,0
45,a10e8b,UAL1913 ,United States,1714315315.0,1714315383,-94.12,30.8571,8602.98,False,187.37,226.0,-10.4,,8923.02,5625,False,0,0
46,511163,IGO260F ,Estonia,1714315493.0,1714315493,76.4424,27.2341,6964.68,False,222.52,203.72,5.2,,7246.62,,False,0,0
47,ac230c,N881RJ  ,United States,1714315487.0,1714315493,-82.1332,27.226,640.08,False,56.32,73.55,0.0,,754.38,5201,False,0,0
48,402ab6,GBOIL   ,United Kingdom,1714315494.0,1714315494,-2.4403,53.5361,632.46,False,51.35,132.16,4.88,,594.36,7365,False,0,0
49,a4d87f,N411GT  ,United States,1714315493.0,1714315493,-82.8649,28.0703,1889.76,False,82.67,354.64,-1.3,,2011.68,0154,False,0,0
50,801616,IGO209  ,India,1714315465.0,1714315465,81.3889,15.407,11582.4,False,232.59,210.14,0.0,,12329.16,,False,0,0
