,icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,true_track,vertical_rate,sensors,geo_altitude,squawk,spi,position_source,category
0,a2d2c8,N281MC  ,United States,1714313174.0,1714313174,-77.0667,42.9281,464.82,False,72.54,90.0,-0.33,,487.68,,False,0,0
1,4b1815,SWR9YP  ,Switzerland,1714313174.0,1714313175,6.5325,47.5159,10347.96,False,203.93,272.6,3.25,,10424.16,3027,False,0,0
2,a89ea5,N6545H  ,United States,1714312994.0,1714312994,-102.153,32.3745,1158.24,False,58.15,178.48,0.0,,1089.66,,False,0,0
3,a09281,N136LM  ,United States,1714312989.0,1714312991,-85.8897,35.1455,2011.68,False,47.67,136.31,-1.3,,2141.22,,False,0,0
4,ac96b8,AAL622  ,United States,1714313171.0,1714313175,-71.0188,42.36,,True,1.29,36.56,,,,,False,0,0
5,aa56db,UAL2331 ,United States,1714313175.0,1714313175,-81.8721,32.2157,11277.6,False,229.38,26.22,0.0,,11689.08,,False,0,0
6,a7b08d,LXJ595  ,United States,1714313162.0,1714313162,-71.0223,42.375,,True,0.06,132.19,,,,,False,0,0
7,aa56da,UAL2650 ,United States,1714313175.0,1714313175,-118.4043,33.9383,,True,5.4,81.56,,,,4725,False,0,0
8,a3feec,,United States,1714313163.0,1714313167,-104.196,47.2922,10812.78,False,176.18,198.38,9.1,,10805.16,,False,0,0
9,4a8e07,SECPG   ,Sweden,1714313174.0,1714313174,17.2511,59.2616,495.3,False,58.21,11.21,-0.33,,,1106,False,0,0
10,ade18c,AAL576  ,United States,1714313174.0,1714313174,-97.4434,33.4285,2606.04,False,145.7,140.01,-4.88,,2644.14,3744,False,0,0
11,abd9d9,SWA5052 ,United States,1714313174.0,1714313174,-114.5429,36.1202,3086.1,False,127.63,191.63,-5.53,,3139.44,6672,False,0,0
12,ade191,DAL2473 ,United States,1714313175.0,1714313175,-75.3855,39.8347,792.48,False,128.06,259.82,10.08,,853.44,,False,0,0
13,801640,AIC802  ,India,1714313157.0,1714313157,77.2386,9.7998,8016.24,False,238.97,357.29,4.23,,8473.44,,False,0,0
14,842194,ADO44   ,Japan,1714313175.0,1714313175,139.9029,34.9893,2865.12,False,127.35,313.69,-2.6,,3002.28,3456,False,0,0
15,c07d23,CGVKC   ,Canada,1714313172.0,1714313172,-88.7533,48.8874,5699.76,False,101.05,32.31,3.9,,5775.96,,False,0,0
16,880454,AIQ3357 ,Thailand,1714313174.0,1714313174,100.7115,14.8232,4411.98,False,179.55,203.11,-8.45,,4732.02,,False,0,0
17,aaf633,UAL2041 ,United States,1714313174.0,1714313174,-104.6497,43.1002,10988.04,False,229.44,269.87,0.0,,10980.42,4052,False,0,0
18,a305fd,SKW3991 ,United States,1714313057.0,1714313057,-93.2041,44.883,,True,2.57,210.94,,,,,False,0,0
19,880456,,Thailand,1714312767.0,1714313030,98.4229,13.5056,8534.4,False,237.15,254.4,0.0,,9174.48,,False,0,0
20,a678e5,JTZ516  ,United States,1714313174.0,1714313174,-115.1603,36.0996,,True,0.0,112.5,,,,,False,0,0
21,a34230,EJA309  ,United States,1714313160.0,1714313175,-73.8813,40.7775,,True,0.0,317.81,,,,,False,0,0
22,aa56d8,UAL573  ,United States,1714313175.0,1714313175,-120.5896,37.6777,8229.6,False,206.91,261.71,-12.68,,8458.2,1404,False,0,0
23,a34e6a,ENY3650 ,United States,1714313175.0,1714313175,-83.8565,30.2156,10668.0,False,234.76,162.0,0.33,,11109.96,4013,False,0,0
24,4b1806,SWR210A ,Switzerland,1714313174.0,1714313174,0.9248,43.4122,11582.4,False,260.62,52.7,0.0,,11628.12,1000,False,0,0
25,aa56d4,UAL1306 ,United States,1714313175.0,1714313175,-71.8012,42.9558,9243.06,False,205.29,285.26,7.48,,9471.66,,False,0,0
26,4b1809,SWR890M ,Switzerland,1714313175.0,1714313175,8.5896,47.6999,3299.46,False,132.08,167.86,-5.53,,3406.14,1000,False,0,0
27,ac96c8,N910BD  ,United States,1714313174.0,1714313174,-81.8875,26.9677,3604.26,False,116.37,350.33,-0.33,,3764.28,,False,0,0
28,a438fa,N371RA  ,United States,1714313174.0,1714313174,-81.9995,28.2912,1303.02,False,80.29,206.24,0.0,,1379.22,,False,0,0
29,51111e,JAF9MH  ,Estonia,1714313174.0,1714313174,4.497,50.9071,,True,11.32,14.06,,,,,False,0,0
30,801647,IGO277W ,India,1714312915.0,1714312915,77.0836,28.5614,,True,1.29,329.06,,,,,False,0,0
31,4b1800,SWR1958 ,Switzerland,1714313175.0,1714313175,8.2397,47.4404,3383.28,False,142.75,234.53,10.08,,3467.1,3042,False,0,0
32,4b1801,,Switzerland,1714313175.0,1714313175,12.3559,45.5084,22.86,False,75.83,41.15,12.03,,114.3,,False,0,0
33,a798c6,EJA589  ,United States,1714313171.0,1714313173,-82.2445,37.7785,9448.8,False,217.85,357.29,0.0,,9791.7,,False,0,0
34,801657,AIC667  ,India,1714313163.0,1714313163,75.2523,13.5248,11277.6,False,235.82,153.71,0.0,,11993.88,,False,0,0
35,ab63b7,N833CF  ,United States,1714313174.0,1714313174,-80.1496,33.0089,2179.32,False,78.05,33.17,-0.33,,2301.24,,False,0,0
36,aa9f3f,SWA4128 ,United States,1714313174.0,1714313174,-107.8599,36.1152,10972.8,False,226.06,232.58,0.0,,11071.86,3602,False,0,0
37,4952ca,TAP1127 ,Portugal,1714313174.0,1714313174,-15.0012,31.4245,11574.78,False,249.48,32.28,0.33,,11757.66,,False,0,0
38,4952cb,TAP782  ,Portugal,1714313174.0,1714313174,-1.1927,46.9093,11582.4,False,253.11,36.99,0.0,,11506.2,1165,False,0,0
39,acdfa0,WUP929  ,United States,1714313174.0,1714313174,-77.0868,40.1657,4892.04,False,138.73,237.72,11.05,,5082.54,1716,False,0,0
40,acdfa3,ASA458  ,United States,1714313175.0,1714313175,-101.0841,42.0189,10972.8,False,221.0,255.03,0.0,,10988.04,7056,False,0,0
41,a678f6,N516NS  ,United States,1714313175.0,1714313175,-113.1717,42.1213,3185.16,False,59.54,350.05,1.95,,3208.02,,False,0,0
42,880444,AIQ3183 ,Thailand,1714313175.0,1714313175,100.6728,14.1024,1013.46,False,104.13,137.4,-2.6,,1059.18,,False,0,0
43,a10e8b,UAL1913 ,United States,1714313175.0,1714313175,-89.517,32.3744,11582.4,False,235.62,247.13,0.0,,11986.26,5625,False,0,0
44,511163,IGO260F ,Estonia,1714312912.0,1714312912,77.0868,28.5621,,True,2.06,284.06,,,,,False,0,0
45,80160a,IGO6089 ,India,1714312970.0,1714312970,80.1506,12.9833,91.44,False,70.99,69.2,-3.58,,0.0,,False,0,0
46,a3a575,JBU455  ,United States,1714313174.0,1714313175,-75.775,38.7742,4549.14,False,178.67,265.04,-9.43,,4732.02,3474,False,0,0
47,ad3c16,AAL1498 ,United States,1714313174.0,1714313174,-80.365,25.7839,236.22,False,70.55,87.49,-3.58,,281.94,,False,0,0
48,801616,IGO209  ,India,1714312968.0,1714312969,83.9475,19.9907,11582.4,False,225.01,206.04,0.33,,12306.3,0123,False,0,0
49,0d0c14,XARUV   ,Mexico,1714313164.0,1714313164,-99.6783,19.2395,5356.86,False,126.89,284.32,11.05,,5661.66,,False,0,0
50,a22235,N23675  ,United States,1714313171.0,1714313173,-84.0028,34.2045,518.16,False,41.7,141.01,-0.65,,586.74,,False,0,0
51,abacb6,SCX941  ,United States,1714313175.0,1714313175,-86.7845,34.9961,12496.8,False,239.06,166.05,0.33,,12893.04,1156,False,0,0
52,ac96be,AAL1220 ,United States,1714313174.0,1714313174,-97.3032,28.5424,10370.82,False,226.49,250.49,0.0,,10797.54,3522,False,0,0
53,a7e8bf,ASA90   ,United States,1714313175.0,1714313175,-150.1749,61.8925,5006.34,False,178.87,196.72,-10.73,,4861.56,,False,0,0
54,aa69db,ENY3641 ,United States,1714313173.0,1714313175,-95.6227,35.7943,9144.0,False,193.73,240.58,0.33,,9387.84,,False,0,1
55,801622,IGO1454 ,India,1714312946.0,1714312966,55.3445,25.2591,,True,1.29,210.94,,,,,False,0,0
56,80160e,IGO856  ,India,1714313173.0,1714313175,86.5057,23.6863,10965.18,False,191.4,302.15,0.0,,11567.16,1313,False,0,0
57,a1fb48,N227CV  ,United States,1714313173.0,1714313173,-82.5132,35.3792,1691.64,False,116.94,158.85,12.35,,1722.12,,False,0,0
58,ab76eb,JRE838  ,United States,1714313173.0,1714313173,-84.8966,27.3825,12192.0,False,183.87,297.86,0.0,,12656.82,2315,False,0,0
59,511159,JAF44J  ,Estonia,1714313174.0,1714313174,4.2843,50.7836,2072.64,False,124.67,211.33,10.73,,2087.88,7115,False,0,0
60,aaf656,VXP367  ,United States,1714313174.0,1714313174,-82.4977,28.2319,1226.82,False,115.21,219.02,-7.15,,1325.88,3317,False,0,0
61,4952c9,TAP831  ,Portugal,1714313174.0,1714313174,-2.288,40.4729,11277.6,False,210.07,252.76,0.0,,11330.94,4026,False,0,0
62,a5e550,N4793F  ,United States,1714313155.0,1714313155,-123.1953,48.1293,396.24,False,61.19,82.76,-0.33,,403.86,,False,0,0
