,icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,true_track,vertical_rate,sensors,geo_altitude,squawk,spi,position_source,category
0,4b1815,SWR9YP  ,Switzerland,1714315184.0,1714315184,1.7749,50.227,10713.72,False,221.55,315.66,-9.43,,10591.8,3027,False,0,0
1,a09281,N136LM  ,United States,1714315183.0,1714315184,-85.1373,34.5054,1981.2,False,46.52,141.74,0.33,,2110.74,,False,0,0
2,e8027b,LAN535  ,Chile,1714314735.0,1714315184,-76.7623,-13.7006,9220.2,False,261.43,165.06,-0.33,,9875.52,,False,0,0
3,ac96b8,AAL622  ,United States,1714315185.0,1714315185,-72.6588,41.7012,8542.02,False,230.19,239.37,0.33,,8808.72,,False,0,0
4,e8027e,LPE2119 ,Chile,1714315073.0,1714315135,-75.8865,-12.9353,8161.02,False,225.84,132.05,4.88,,8602.98,,False,0,0
5,a5cb05,N4721B  ,United States,1714315185.0,1714315185,-81.9709,28.3119,640.08,False,41.57,319.01,0.0,,708.66,,False,0,0
6,aa3cbd,N759P   ,United States,1714315184.0,1714315184,-81.7685,41.0086,655.32,False,64.67,11.94,4.88,,685.8,5550,False,0,0
7,aa56db,UAL2331 ,United States,1714315185.0,1714315185,-79.2402,35.6824,10119.36,False,214.39,35.33,-4.88,,10500.36,2477,False,0,0
8,a7b08d,LXJ595  ,United States,1714315185.0,1714315185,-73.072,42.8779,6705.6,False,177.78,279.33,-0.33,,6896.1,,False,0,0
9,a22258,N23685  ,United States,1714315184.0,1714315184,-79.0627,36.6514,1554.48,False,87.38,70.39,0.33,,1668.78,,False,0,0
10,4a8e07,SECPG   ,Sweden,1714315100.0,1714315100,17.7155,59.3473,-7.62,False,27.57,104.04,-0.33,,,7000,False,0,0
11,7c6b2d,JST988  ,Australia,1714315184.0,1714315184,116.6482,-31.9412,3886.2,False,197.04,293.22,-16.26,,4130.04,3633,False,0,0
12,a808bb,N61697  ,United States,1714315184.0,1714315184,-81.5526,27.713,1310.64,False,56.0,349.41,-0.33,,1379.22,,False,0,0
13,48d254,SPWTW   ,Poland,1714315184.0,1714315184,23.3708,51.2203,1516.38,False,72.49,325.41,5.2,,1653.54,,False,0,0
14,88044d,AIQ3444 ,Thailand,1714315183.0,1714315183,99.5263,17.6175,8473.44,False,233.79,162.32,6.83,,8900.16,,False,0,0
15,801641,AXB1596 ,India,1714315184.0,1714315184,77.877,13.0672,4000.5,False,168.35,246.02,12.68,,4160.52,,False,0,0
16,abd9d9,SWA5052 ,United States,1714315081.0,1714315081,-115.1465,36.0823,,True,2.31,272.81,,,,6672,False,0,0
17,ade191,DAL2473 ,United States,1714315184.0,1714315185,-80.1581,40.5232,9745.98,False,220.3,282.54,0.33,,10096.5,2641,False,0,0
