,icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,true_track,vertical_rate,sensors,geo_altitude,squawk,spi,position_source,category
0,a2d2c8,N281MC  ,United States,1714313745.0,1714313745,-76.5671,42.945,312.42,False,49.27,61.29,-3.25,,365.76,,False,0,0
1,4b1815,SWR9YP  ,Switzerland,1714313843.0,1714313843,4.9707,48.3547,11574.78,False,230.77,313.01,-0.33,,11582.4,3027,False,0,0
2,a89ea5,N6545H  ,United States,1714313842.0,1714313842,-102.2388,32.4913,1158.24,False,44.94,344.05,1.3,,1051.56,,False,0,0
3,e8027b,LAN535  ,Chile,1714313842.0,1714313842,-77.2033,-12.1586,1874.52,False,144.14,218.92,15.28,,1973.58,,False,0,0
4,ac96b8,AAL622  ,United States,1714313843.0,1714313843,-71.0062,42.3783,,True,0.0,53.44,,,,,False,0,0
5,a5cb05,N4721B  ,United States,1714313840.0,1714313840,-82.0274,28.0742,792.48,False,42.88,349.63,3.25,,876.3,,False,0,0
6,aa56db,UAL2331 ,United States,1714313843.0,1714313843,-81.0607,33.418,11277.6,False,227.39,31.96,0.0,,11673.84,,False,0,0
7,a7b08d,LXJ595  ,United States,1714313842.0,1714313842,-70.9634,42.3127,1539.24,False,118.58,99.99,14.63,,1600.2,,False,0,0
8,aa56da,UAL2650 ,United States,1714313575.0,1714313578,-118.4007,33.94,,True,2.83,351.56,,,,4725,False,0,0
9,a3feec,N357BE  ,United States,1714313843.0,1714313843,-104.7296,46.1621,11582.4,False,199.95,197.83,0.0,,11567.16,,False,0,0
10,4a8e07,SECPG   ,Sweden,1714313842.0,1714313843,17.4012,59.5688,350.52,False,47.22,29.36,-0.33,,,1106,False,0,0
11,7c6b2d,JST988  ,Australia,1714313841.0,1714313843,119.3456,-32.8916,10363.2,False,204.53,291.85,0.0,,10668.0,,False,0,0
12,ade18c,AAL576  ,United States,1714313843.0,1714313843,-97.0095,32.9469,472.44,False,69.45,180.42,-3.58,,441.96,3744,False,0,0
13,88044d,AIQ3444 ,Thailand,1714313820.0,1714313820,98.9665,18.7686,,True,0.0,180.0,,,,,False,0,0
14,abd9d9,SWA5052 ,United States,1714313834.0,1714313839,-115.1507,36.0787,,True,2.83,81.56,,,,6672,False,0,0
15,ade191,DAL2473 ,United States,1714313843.0,1714313843,-76.7397,39.9358,6644.64,False,215.37,284.67,6.83,,6926.58,2641,False,0,0
16,801640,AIC802  ,India,1714313843.0,1714313843,77.1457,11.2179,10972.8,False,234.79,8.82,0.0,,11681.46,,False,0,0
17,a665b9,LXJ511  ,United States,1714313842.0,1714313842,-80.4847,27.2086,7490.46,False,213.0,340.38,16.58,,7863.84,,False,0,0
18,801645,AIC811  ,India,1714313538.0,1714313538,81.1681,26.9074,1874.52,False,133.87,82.49,-2.93,,1912.62,,False,0,0
19,842194,ADO44   ,Japan,1714313843.0,1714313843,140.0074,35.5266,723.9,False,99.67,45.0,-3.9,,777.24,3456,False,0,0
20,880454,AIQ3357 ,Thailand,1714313842.0,1714313842,100.6528,13.9982,502.92,False,70.45,208.81,-3.58,,510.54,,False,0,0
21,880453,AIQ523  ,Thailand,1714313823.0,1714313823,102.8129,14.1476,10972.8,False,229.89,234.1,0.0,,11795.76,,False,0,0
22,aaf633,UAL2041 ,United States,1714313842.0,1714313842,-106.4799,43.0669,10972.8,False,221.5,260.78,0.0,,10965.18,4052,False,0,0
23,880457,AIQ596  ,Thailand,1714313763.0,1714313763,113.5706,22.7491,1485.9,False,117.9,2.25,-2.6,,1661.16,,False,0,0
24,a678e5,JTZ516  ,United States,1714313840.0,1714313840,-115.1603,36.0996,,True,0.0,112.5,,,,,False,0,0
25,880455,AIQ158  ,Thailand,1714313832.0,1714313834,100.3397,12.9113,10980.42,False,234.4,356.98,0.33,,11795.76,,False,0,0
26,a34230,EJA309  ,United States,1714313838.0,1714313838,-73.8789,40.7785,,True,5.4,45.0,,,,,False,0,0
27,aa56d8,UAL573  ,United States,1714313843.0,1714313843,-121.8542,37.496,2110.74,False,131.66,253.19,-5.53,,2164.08,1404,False,0,0
28,a34e6a,ENY3650 ,United States,1714313843.0,1714313843,-83.18,28.9353,10668.0,False,235.37,156.01,0.0,,11125.2,4013,False,0,0
29,4b1806,SWR210A ,Switzerland,1714313842.0,1714313842,2.6601,44.3478,11277.6,False,259.92,53.86,-0.65,,11346.18,1000,False,0,0
30,aa56d4,UAL1306 ,United States,1714313843.0,1714313843,-73.4311,43.1049,10972.8,False,200.14,270.74,-0.33,,11247.12,,False,0,0
31,4b1809,SWR890M ,Switzerland,1714313838.0,1714313842,8.5637,47.4571,388.62,False,64.65,275.94,-0.33,,480.06,1000,False,0,0
32,ac96c8,N910BD  ,United States,1714313843.0,1714313843,-82.3908,27.6109,1760.22,False,124.0,304.35,0.0,,1836.42,4743,False,0,0
33,a438fa,N371RA  ,United States,1714313842.0,1714313842,-82.2857,27.873,822.96,False,91.78,232.74,-1.63,,876.3,,False,0,0
34,51111e,JAF9MH  ,Estonia,1714313842.0,1714313842,3.8826,50.4967,4930.14,False,183.51,218.28,9.75,,4892.04,7143,False,0,0
35,4b1800,SWR1958 ,Switzerland,1714313843.0,1714313843,7.0887,46.8429,8801.1,False,182.22,231.19,6.18,,8923.02,3042,False,0,0
36,4b1801,SWR2MX  ,Switzerland,1714313843.0,1714313843,11.8268,46.01,7139.94,False,209.18,322.59,9.43,,7345.68,1000,False,0,0
37,a798c6,EJA589  ,United States,1714313842.0,1714313842,-82.325,39.0901,6324.6,False,211.15,357.35,-15.28,,6560.82,6456,False,0,0
38,801657,AIC667  ,India,1714313843.0,1714313843,75.9056,12.2311,11277.6,False,234.9,153.6,0.0,,12001.5,,False,0,0
39,aa9f3f,SWA4128 ,United States,1714313841.0,1714313841,-109.1284,35.2515,10972.8,False,224.42,228.16,0.0,,11109.96,3602,False,0,0
40,4952cb,TAP782  ,Portugal,1714313843.0,1714313843,0.1807,48.1211,11582.4,False,253.89,38.17,0.0,,11498.58,1165,False,0,0
41,acdfa0,WUP929  ,United States,1714313842.0,1714313842,-78.2886,39.5688,9144.0,False,228.59,236.85,0.0,,9479.28,2552,False,0,0
42,00b22c,SAA041  ,South Africa,1714313843.0,1714313843,27.4996,-24.9688,11277.6,False,222.71,183.71,0.0,,11879.58,,False,0,0
43,acdfa3,ASA458  ,United States,1714313843.0,1714313843,-102.8148,41.6573,10972.8,False,227.41,253.57,0.0,,10965.18,7056,False,0,0
44,a678f6,N516NS  ,United States,1714313533.0,1714313534,-113.3186,42.3082,3177.54,False,63.56,330.95,-0.33,,3192.78,,False,0,0
45,a10e8b,UAL1913 ,United States,1714313843.0,1714313843,-91.0488,31.8127,11582.4,False,234.27,246.31,0.0,,12001.5,5625,False,0,0
46,a3a575,JBU455  ,United States,1714313843.0,1714313843,-76.9802,38.9433,2438.4,False,142.96,314.85,-10.73,,2567.94,3474,False,0,0
47,511167,ESSKI   ,Estonia,1714313842.0,1714313842,24.8125,59.4175,,True,7.2,267.19,,,,,False,0,0
48,402ab6,GBOIL   ,United Kingdom,1714313843.0,1714313843,-2.4045,53.4704,198.12,False,29.46,257.91,0.98,,190.5,,False,0,0
49,8a02f1,LNI989  ,Indonesia,1714313843.0,1714313843,104.3957,0.6662,2948.94,False,159.02,339.75,-5.2,,3139.44,,False,0,0
50,0d0c14,XARUV   ,Mexico,1714313608.0,1714313615,-100.1852,19.4587,9372.6,False,152.32,295.61,4.88,,9966.96,,False,0,0
51,a22235,N23675  ,United States,1714313840.0,1714313842,-83.9997,33.991,548.64,False,40.33,156.71,0.98,,594.36,,False,0,0
52,abacb6,SCX941  ,United States,1714313843.0,1714313843,-86.376,33.6054,12496.8,False,236.19,166.27,0.0,,12893.04,1156,False,0,0
