,icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,true_track,vertical_rate,sensors,geo_altitude,squawk,spi,position_source,category
0,4b1815,SWR9YP  ,Switzerland,1714314625.0,1714314625,3.1372,49.4515,11582.4,False,235.78,311.55,0.0,,11529.06,3027,False,0,0
1,a89ea5,N6545H  ,United States,1714314362.0,1714314362,-102.2226,32.4122,1158.24,False,59.39,165.96,-1.63,,1104.9,,False,0,0
2,a09281,N136LM  ,United States,1714314621.0,1714314622,-85.3198,34.6725,1981.2,False,43.3,133.56,-0.33,,2125.98,,False,0,0
3,e8027b,LAN535  ,Chile,1714314622.0,1714314625,-76.8638,-13.4664,8854.44,False,236.97,157.0,2.93,,9494.52,,False,0,0
4,ac96b8,AAL622  ,United States,1714314625.0,1714314626,-71.4081,42.1923,7749.54,False,164.57,284.3,10.73,,7962.9,,False,0,0
5,e8027e,LPE2119 ,Chile,1714314625.0,1714314625,-76.5751,-12.4495,5219.7,False,190.51,115.94,12.35,,5570.22,,False,0,0
6,a5cb05,N4721B  ,United States,1714314625.0,1714314625,-81.9643,28.2263,670.56,False,54.01,342.26,-3.58,,739.14,,False,0,0
7,aa56db,UAL2331 ,United States,1714314625.0,1714314626,-80.0339,34.7654,11277.6,False,227.9,32.65,0.0,,11666.22,,False,0,0
8,a7b08d,LXJ595  ,United States,1714314625.0,1714314625,-71.8706,42.7263,6705.6,False,180.33,280.19,0.0,,6888.48,,False,0,0
9,88044a,AIQ3168 ,Thailand,1714314624.0,1714314625,99.8759,12.9249,11887.2,False,234.03,183.65,-0.33,,12725.4,,False,0,0
10,a22258,N23685  ,United States,1714314623.0,1714314625,-79.3901,36.3729,1554.48,False,87.28,11.91,-0.98,,1676.4,,False,0,0
11,a3feec,N357BE  ,United States,1714314431.0,1714314431,-105.2026,45.118,6598.92,False,203.22,197.38,-13.0,,6659.88,,False,0,0
12,4a8e07,SECPG   ,Sweden,1714314625.0,1714314625,17.6491,59.4906,266.7,False,43.26,177.27,-0.33,,,7000,False,0,0
13,7c6b2d,JST988  ,Australia,1714314625.0,1714314625,117.7828,-32.3503,10363.2,False,201.78,292.64,0.0,,10683.24,3633,False,0,0
14,a808bb,N61697  ,United States,1714314623.0,1714314623,-81.4385,27.4637,1981.2,False,49.8,326.8,-0.65,,2065.02,,False,0,0
15,88044d,AIQ3444 ,Thailand,1714314624.0,1714314624,99.1449,18.5897,4396.74,False,160.86,154.83,11.38,,4640.58,,False,0,0
16,801641,AXB1596 ,India,1714314398.0,1714314398,77.7171,13.192,,True,8.75,270.0,,,,,False,0,0
17,abd9d9,SWA5052 ,United States,1714314617.0,1714314622,-115.1444,36.0796,,True,0.0,357.19,,,,6672,False,0,0
18,ade191,DAL2473 ,United States,1714314625.0,1714314626,-78.7413,40.2714,9753.6,False,225.35,283.47,0.0,,10111.74,2641,False,0,0
19,801640,AIC802  ,India,1714314625.0,1714314625,77.5365,12.8198,10972.8,False,231.83,13.6,0.0,,11681.46,,False,0,0
20,a665b9,LXJ511  ,United States,1714314625.0,1714314625,-81.0525,28.6179,13716.0,False,217.56,340.24,-0.33,,14180.82,,False,0,0
21,801643,AXB1643 ,India,1714314625.0,1714314625,81.9071,15.3289,11582.4,False,228.33,222.35,0.0,,12313.92,,False,0,0
22,880453,AIQ523  ,Thailand,1714314625.0,1714314625,101.6999,12.8843,10972.8,False,235.63,227.74,0.0,,11803.38,,False,0,0
23,aaf633,UAL2041 ,United States,1714314625.0,1714314625,-108.5674,42.8016,10957.56,False,216.03,259.57,0.0,,10957.56,4052,False,0,0
24,a678e5,JTZ516  ,United States,1714314625.0,1714314625,-115.1603,36.0996,,True,0.0,112.5,,,,,False,0,0
25,880455,AIQ158  ,Thailand,1714314617.0,1714314617,99.998,14.5266,10965.18,False,232.59,346.7,0.0,,11772.9,,False,0,0
26,a34230,EJA309  ,United States,1714314626.0,1714314626,-73.9309,40.8334,3581.4,False,149.92,226.39,1.63,,3710.94,3040,False,0,0
27,aa56d8,UAL573  ,United States,1714314508.0,1714314508,-122.3825,37.6188,,True,4.37,208.12,,,,1313,False,0,0
28,a21b85,EPI235  ,United States,1714314624.0,1714314624,-80.9266,29.0475,160.02,False,31.29,136.33,4.23,,228.6,,False,0,0
29,a34e6a,ENY3650 ,United States,1714314625.0,1714314626,-82.4049,27.41,10668.0,False,237.46,154.32,-0.33,,11148.06,4013,False,0,0
30,4b1806,SWR210A ,Switzerland,1714314625.0,1714314625,4.7993,45.2487,8107.68,False,238.46,61.67,-4.55,,8229.6,1000,False,0,0
31,aa56d4,UAL1306 ,United States,1714314625.0,1714314625,-75.3269,43.1072,10972.8,False,198.59,269.41,0.0,,11262.36,3462,False,0,0
32,a90ea8,DAL2343 ,United States,1714314625.0,1714314625,-80.4952,26.3436,3893.82,False,205.72,286.71,4.55,,4069.08,,False,0,0
33,4b1809,SWR890M ,Switzerland,1714314612.0,1714314623,8.5557,47.4544,,True,0.0,185.62,,,,2000,False,0,0
34,ac96c8,N910BD  ,United States,1714314586.0,1714314586,-82.5392,27.9709,-15.24,False,38.08,91.55,-2.28,,38.1,4743,False,0,0
35,51111e,JAF9MH  ,Estonia,1714314625.0,1714314625,2.7105,49.4225,9837.42,False,200.23,233.78,4.55,,9723.12,7143,False,0,0
36,801647,IGO277W ,India,1714314624.0,1714314625,77.4414,28.2349,5273.04,False,221.02,121.58,8.45,,5471.16,,False,0,0
37,4b1800,SWR1958 ,Switzerland,1714314625.0,1714314625,6.1948,45.7606,10668.0,False,183.11,196.65,0.0,,10782.3,3042,False,0,0
38,4b1801,SWR2MX  ,Switzerland,1714314625.0,1714314626,10.6505,47.2757,9144.0,False,212.1,315.88,-0.33,,9342.12,1000,False,0,0
39,a798c6,EJA589  ,United States,1714314625.0,1714314625,-82.7243,39.9924,845.82,False,87.94,276.04,0.33,,891.54,1346,False,0,0
40,801657,AIC667  ,India,1714314619.0,1714314619,76.6317,10.7563,11277.6,False,234.25,154.5,0.33,,12001.5,,False,0,0
41,aa9f3f,SWA4128 ,United States,1714314625.0,1714314625,-110.6257,34.3543,10050.78,False,219.18,234.07,-5.53,,10218.42,3602,False,0,0
42,880443,AIQ5421 ,Thailand,1714314520.0,1714314589,98.9625,18.6178,1089.66,False,86.94,0.34,-5.2,,1089.66,,False,0,0
43,4952cb,TAP782  ,Portugal,1714314625.0,1714314625,1.8917,49.5174,11346.18,False,256.55,43.46,-2.28,,11254.74,1165,False,0,0
44,80163f,VTI722  ,India,1714314625.0,1714314625,80.4179,27.5313,10363.2,False,184.29,283.73,0.0,,10805.16,,False,0,0
45,acdfa0,WUP929  ,United States,1714314624.0,1714314625,-79.936,38.5879,9144.0,False,228.99,231.84,0.0,,9494.52,3651,True,0,0
46,00b22c,SAA041  ,South Africa,1714314625.0,1714314625,28.0908,-26.1652,3848.1,False,137.53,200.13,-7.15,,4122.42,,False,0,0
47,a928ba,CWG69   ,United States,1714314625.0,1714314626,-9.1125,52.7085,1744.98,False,134.03,292.33,16.91,,1722.12,,False,0,0
48,acdfa3,ASA458  ,United States,1714314625.0,1714314626,-104.8753,41.1932,10972.8,False,231.74,257.04,0.0,,10972.8,7056,False,0,0
49,a10e8b,UAL1913 ,United States,1714314625.0,1714314625,-92.8012,31.1512,11582.4,False,228.89,247.82,0.0,,12001.5,5625,False,0,0
50,511163,IGO260F ,Estonia,1714314625.0,1714314625,77.0534,28.5524,662.94,False,86.44,278.9,6.18,,571.5,,False,0,0
51,a3a575,JBU455  ,United States,1714314462.0,1714314464,-77.0411,38.8537,,True,0.45,329.06,,,,3474,False,0,0
52,511167,ESSKI   ,Estonia,1714314621.0,1714314625,24.8501,59.4139,,True,6.94,2.81,,,,,False,0,0
53,402ab6,GBOIL   ,United Kingdom,1714314625.0,1714314626,-2.6954,53.5951,1005.84,False,39.43,285.12,-2.6,,960.12,7365,False,0,0
54,a4d87f,N411GT  ,United States,1714314626.0,1714314626,-82.7488,27.4329,1584.96,False,78.94,334.94,1.95,,1699.26,6453,False,0,0
55,8a02f1,LNI989  ,Indonesia,1714314584.0,1714314584,104.1547,1.1617,251.46,False,74.68,221.93,-3.9,,266.7,,False,0,0
56,abacb6,SCX941  ,United States,1714314625.0,1714314625,-85.914,31.9744,12496.8,False,234.21,166.67,0.0,,12915.9,1156,False,0,0
57,ac96be,AAL1220 ,United States,1714314625.0,1714314625,-99.9986,29.0947,10363.2,False,237.57,24.57,0.33,,10759.44,3522,False,0,0
58,aa69db,ENY3641 ,United States,1714314625.0,1714314625,-97.9295,34.7414,8008.62,False,178.87,163.28,-4.88,,8168.64,,False,0,1
59,801622,IGO1454 ,India,1714314516.0,1714314516,56.5575,25.3015,7185.66,False,233.19,98.76,8.45,,7467.6,,False,0,0
60,80160e,IGO856  ,India,1714314460.0,1714314494,84.4744,24.8411,10972.8,False,186.07,301.32,0.0,,11529.06,1313,False,0,0
61,a1fb48,N227CV  ,United States,1714314618.0,1714314620,-79.5567,34.1722,5516.88,False,207.04,125.9,-23.41,,5737.86,,False,0,0
62,ab76eb,JRE838  ,United States,1714314625.0,1714314625,-87.0867,28.9159,12016.74,False,198.6,310.17,-7.15,,12443.46,2315,False,0,0
63,511159,JAF44J  ,Estonia,1714314625.0,1714314625,1.9361,48.9966,10050.78,False,197.6,228.8,0.0,,9944.1,7115,False,0,0
64,4952c9,TAP831  ,Portugal,1714314625.0,1714314625,-5.8408,39.6544,11277.6,False,222.81,254.33,0.33,,11277.6,4026,False,0,0
65,a5e550,N4793F  ,United States,1714314625.0,1714314626,-122.5319,47.6603,487.68,False,48.16,166.41,-1.95,,472.44,,False,0,0
66,a09273,N136KY  ,United States,1714314416.0,1714314418,-71.7015,42.2185,335.28,False,60.04,70.48,-2.28,,358.14,,False,0,0
67,a46e40,DAL946  ,United States,1714314625.0,1714314625,-101.8497,35.5394,10683.24,False,261.78,72.38,-0.33,,10767.06,,False,0,0
68,aa56b8,UAL1120 ,United States,1714314625.0,1714314625,-90.2346,32.4442,11582.4,False,239.38,177.91,0.0,,11978.64,6225,False,0,0
69,c07d1a,HRT373  ,Canada,1714314625.0,1714314625,-80.8852,33.4385,12192.0,False,210.44,187.02,0.33,,12611.1,0512,False,0,0
70,a57b4d,UAL1362 ,United States,1714314625.0,1714314625,-104.6883,39.772,2171.7,False,92.61,0.64,-4.88,,2179.32,3556,False,0,0
71,ad5623,AAL2599 ,United States,1714314626.0,1714314626,-116.9337,34.7609,10439.4,False,235.63,84.61,7.15,,10698.48,6716,False,0,0
72,aa56b4,UAL2161 ,United States,1714314625.0,1714314625,-89.0716,30.1152,9753.6,False,220.65,258.3,0.0,,10134.6,,False,0,0
73,aa56b3,UAL2052 ,United States,1714314625.0,1714314625,-81.0883,30.3934,11582.4,False,231.29,182.93,0.0,,12009.12,5720,False,0,0
74,a6c8cd,VJA536  ,United States,1714314625.0,1714314625,-80.2818,38.3538,12192.0,False,230.38,195.28,0.0,,12542.52,3655,False,0,0
75,ad3c27,DAL2223 ,United States,1714314623.0,1714314624,-82.1903,29.7719,1379.22,False,144.36,337.36,12.35,,1470.66,,False,0,1
76,4952c1,TAP72PA ,Portugal,1714314625.0,1714314625,-6.447,41.0435,11582.4,False,238.42,33.38,0.0,,11551.92,2201,False,0,0
77,4952c3,TAP1359 ,Portugal,1714314597.0,1714314600,-4.9012,45.7497,10668.0,False,224.02,202.27,0.0,,10553.7,5405,False,0,0
78,a22248,N2368P  ,United States,1714314625.0,1714314625,-81.5524,28.3386,182.88,False,23.51,10.08,0.0,,220.98,,False,0,0
79,801626,AIC610  ,India,1714314625.0,1714314625,77.0307,14.6198,9791.7,False,227.28,322.82,5.53,,10424.16,,False,0,0
80,acdfab,DAL2052 ,United States,1714314626.0,1714314626,-80.408,35.9575,10058.4,False,223.8,53.79,0.0,,10462.26,2557,False,0,1
81,4952c6,TAP1242 ,Portugal,1714314625.0,1714314626,-8.0299,39.6413,9235.44,False,220.2,50.02,6.18,,9182.1,5444,False,0,0
82,a0e250,AAL356  ,United States,1714314625.0,1714314626,-111.7594,33.455,1874.52,False,145.55,80.44,10.73,,1897.38,,False,0,0
