,icao24,firstSeen,estDepartureAirport,lastSeen,estArrivalAirport,callsign,estDepartureAirportHorizDistance,estDepartureAirportVertDistance,estArrivalAirportHorizDistance,estArrivalAirportVertDistance,departureAirportCandidatesCount,arrivalAirportCandidatesCount
4051,ad4f1c,1714076341,KDAB,1714082390,KSRQ,ERU957  ,1103.0,35.0,1456.0,1.0,2,4
4052,acf94f,1714076304,KSMO,1714077777,KAVX,N935M   ,335.0,53.0,130.0,61.0,2,0
4053,c810f9,1714077845,NZGS,1714079061,NZGS,ZKMRR   ,1579.0,330.0,730.0,86.0,0,0
4054,e495ea,1714079499,SBRJ,1714082292,SBSP,PRBDB   ,8128.0,1604.0,4710.0,165.0,0,2
4055,43e90d,1714077698,EBCI,1714080321,EGSS,MABEU   ,454.0,178.0,2176.0,160.0,2,6
4056,4cadb7,1714075361,,1714078108,LEMG,RYR3RY  ,,,4986.0,212.0,0,0
4057,7c77fa,1714076018,YBBN,1714080958,YSSY,QFA501  ,1716.0,26.0,1429.0,90.0,0,2
4058,a04db8,1714075423,,1714077318,PANC,AER41   ,,,931.0,15.0,0,14
4059,a14ed8,1714079734,59PA,1714080533,9NJ8,1835    ,1135.0,353.0,3236.0,204.0,16,18
4060,a17617,1714079741,KFXE,1714081109,FD08,N1933F  ,1884.0,392.0,11346.0,541.0,1,7
4061,a0de49,1714079866,KTEB,1714080525,KMMU,N155RR  ,11545.0,71.0,1037.0,3.0,1,5
4062,a20ed3,1714075740,,1714076861,2TX1,CXK525  ,,,2423.0,629.0,0,16
4063,a22644,1714076374,KLAS,1714077139,NV98,N238AM  ,6033.0,24.0,27190.0,1432.0,2,0
4064,a34c1e,1714077557,,1714081484,KE16,N311SF  ,,,14981.0,798.0,0,3
4065,a2a6b1,1714078650,KCOI,1714080856,KCOI,N270CC  ,875.0,21.0,1545.0,21.0,2,6
4066,a43577,1714079205,KX04,1714081107,FA83,N370TC  ,2426.0,169.0,1294.0,67.0,4,14
4067,a58e1e,1714075921,KSAN,1714080344,64CN,SWA4521 ,517.0,50.0,3703.0,693.0,2,16
4068,a4b96a,1714075954,,1714077006,TJSJ,SIL0125 ,,,4428.0,172.0,0,1
4069,a4c3b4,1714075248,KBJC,1714076436,KBJC,N406JA  ,1323.0,31.0,1004.0,61.0,4,10
4070,a4cf10,1714080184,,1714081469,04WA,N409LF  ,,,8067.0,32.0,0,19
4071,a67337,1714080123,KXFL,1714082110,8FL0,JED136  ,599.0,28.0,8948.0,441.0,0,12
4072,a5cb57,1714079430,KLAL,1714082188,KLAL,N4723P  ,7561.0,551.0,9380.0,612.0,2,13
4073,a6a2b1,1714077406,4LL7,1714080975,65WI,N5268J  ,1617.0,586.0,10873.0,938.0,9,9
4074,a93495,1714079198,KPTW,1714081088,KPTW,N69200  ,3171.0,332.0,2415.0,180.0,11,30
4075,a99039,1714076911,,1714079326,PANC,N715SJ  ,,,582.0,15.0,0,14
4076,a9e55b,1714075459,KMYF,1714078650,KMYF,N737DD  ,336.0,38.0,703.0,38.0,4,6
4077,a9da44,1714077691,KSBD,1714078924,KAJO,N734DT  ,7248.0,469.0,1942.0,203.0,2,6
4078,a9f44c,1714078752,OH38,1714081663,KMGW,N740U   ,9381.0,1225.0,109.0,75.0,1,6
4079,aa36e7,1714077279,KCMA,1714080950,KLGB,N75733  ,1031.0,144.0,1466.0,33.0,2,8
4080,ab184a,1714078111,KP08,1714079687,KIWA,CXK1130 ,2171.0,434.0,2223.0,81.0,2,6
4081,ab0cab,1714077950,KLWM,1714081403,CT59,N8107B  ,1074.0,107.0,8470.0,708.0,0,8
4082,abd426,1714078892,,1714080225,KRMY,WMU40   ,,,17432.0,1107.0,0,6
4083,ad124e,1714077618,KSDL,1714080777,KCRQ,EJA941  ,519.0,3.0,854.0,24.0,0,5
4084,ad201e,1714078809,KRDU,1714082276,KATL,DAL2026 ,1596.0,19.0,3081.0,7.0,0,20
4085,aca5ed,1714078897,KLHM,1714081145,15CL,N914EB  ,3736.0,587.0,6198.0,655.0,1,5
4086,acbe3c,1714078020,KATL,1714080373,KCLT,DAL2485 ,1845.0,220.0,8710.0,328.0,2,8
