,icao24,firstSeen,estDepartureAirport,lastSeen,estArrivalAirport,callsign,estDepartureAirportHorizDistance,estDepartureAirportVertDistance,estArrivalAirportHorizDistance,estArrivalAirportVertDistance,departureAirportCandidatesCount,arrivalAirportCandidatesCount
0,a8c6e8,1714077182,KCLT,1714079060,KROA,PDT5711 ,3219.0,259.0,225.0,53.0,0,6
1,aac45a,1714075924,KLAF,1714078486,KLAF,N793ND  ,736.0,93.0,1216.0,85.0,2,14
2,ac5198,1714079596,KSFQ,1714080771,KSFQ,N893MM  ,1241.0,8.0,1590.0,21.0,2,8
3,ad5395,1714077101,,1714080048,KLAS,NKS2102 ,,,1553.0,1.0,0,4
4,ae13b9,1714077915,KSKF,1714080280,,LYRE71  ,4781.0,559.0,,,5,0
5,c00b86,1714077363,KJFK,1714081463,CYYZ,JZA555  ,1706.0,125.0,1748.0,127.0,0,4
6,c82835,1714077555,NZAA,1714080479,NZNR,ANZ013M ,2702.0,366.0,986.0,81.0,0,1
7,e49c59,1714080830,,1714082112,SBSP,TAM3171 ,,,6069.0,219.0,0,2
8,342581,1714077865,LEPA,1714079982,LEAL,VLG41WZ ,1824.0,151.0,2807.0,124.0,1,1
9,440030,1714075694,LPMA,1714080472,LPPT,EJU71AM ,962.0,43.0,2841.0,46.0,0,4
10,486494,1714075952,EGLL,1714078471,EHAM,KLM1016 ,828.0,104.0,5820.0,94.0,2,0
11,502d5e,1714077789,EFTP,1714080677,EVRA,BTI9806 ,522.0,56.0,3094.0,149.0,0,2
12,71bf65,1714076221,,1714078654,RKSI,KAL616  ,,,24324.0,1532.0,0,0
13,8015bc,1714078098,,1714080893,VOMM,IGO86C  ,,,2714.0,128.0,0,1
14,a03329,1714076707,42OH,1714077774,KCAK,CSJ16   ,2378.0,630.0,4111.0,21.0,5,17
15,a14f2f,1714077054,KLBB,1714079789,32TE,N1837S  ,3046.0,569.0,1430.0,385.0,0,15
16,a0f6b9,1714078486,KMSN,1714081326,KMSP,SKW4005 ,410.0,87.0,1137.0,27.0,4,10
17,a22238,1714079030,KPTK,1714080807,3MI5,N23678  ,635.0,28.0,5768.0,1188.0,0,3
18,a23844,1714076111,KJFK,1714078796,KDCA,RPA5723 ,1586.0,209.0,1258.0,80.0,0,5
19,a256bf,1714079180,KHAO,1714081342,KHAO,N25SK   ,2209.0,172.0,2091.0,172.0,1,13
20,a34811,1714075831,KCVG,1714079723,KCHS,AAY430  ,1929.0,39.0,3924.0,77.0,2,7
21,a2be57,1714075767,KDAN,1714077999,KDAN,N276SA  ,10820.0,1144.0,13735.0,831.0,0,4
22,a54d2d,1714077429,KA39,1714079339,KFFZ,OXF4263 ,3589.0,472.0,539.0,17.0,2,7
23,a60f6a,1714075970,KOKV,1714076830,KJYO,N49TB   ,4387.0,235.0,2870.0,64.0,2,11
24,a5a4a0,1714078834,KCNO,1714081784,KCRQ,N4629D  ,293.0,15.0,876.0,32.0,2,5
25,a5b7d1,1714077064,KRDG,1714079275,PA76,N468FA  ,3660.0,382.0,7614.0,554.0,3,8
26,a5c5e5,1714076160,KCKV,1714078897,K2A0,N471MA  ,2377.0,137.0,15388.0,1381.0,4,2
27,a5d3f9,1714076160,01FL,1714078958,FL00,LFA452  ,1749.0,390.0,19944.0,1473.0,3,8
28,a72c2a,1714081593,KO05,1714082241,KO05,N561RT  ,9048.0,1484.0,21036.0,1119.0,0,1
29,a6aade,1714076491,KSLE,1714077418,OR47,N529FD  ,343.0,18.0,2711.0,278.0,7,16
30,a81022,1714080322,KLOU,1714082277,59KY,N61890  ,1750.0,107.0,5972.0,643.0,1,5
31,a7d4d4,1714078426,KCMA,1714080803,KSBP,N6030Z  ,1306.0,159.0,10857.0,590.0,2,1
32,a7d7f3,1714075776,,1714076802,KDEN,SKW4782 ,,,4408.0,272.0,0,17
33,a7ddaa,1714079794,KGNV,1714081152,KXFL,N606BH  ,4201.0,342.0,2767.0,81.0,1,4
34,a967eb,1714076762,,1714079278,KTPA,JBU1366 ,,,2359.0,14.0,0,7
35,a95a1c,1714075452,KVPS,1714082305,KDCA,AAL2344 ,923.0,103.0,403.0,111.0,2,5
36,a8c32a,1714075715,KONT,1714079128,KPHX,AAL2661 ,932.0,93.0,1289.0,12.0,2,10
37,ab6061,1714078572,KLAS,1714079998,KU30,N832GC  ,1590.0,81.0,12444.0,625.0,2,0
38,ab5e16,1714079871,KHMT,1714080789,KREI,N831WS  ,556.0,18.0,3670.0,427.0,1,5
39,ab99d9,1714080965,,1714081681,MBPV,N847    ,,,2753.0,25.0,0,1
40,abd658,1714078561,KAUO,1714080769,AL89,N862AU  ,12918.0,1302.0,11933.0,1380.0,0,2
41,ad353d,1714076513,KOKC,1714080638,KORK,N950G   ,604.0,39.0,3169.0,138.0,2,17
42,ae022b,1714079374,KSMF,1714082305,KSUU,ORCA40  ,4888.0,593.0,7468.0,202.0,5,5
43,ae4ede,1714075244,KAFF,1714077154,KAFF,SHARK76 ,606.0,31.0,648.0,31.0,0,7
44,c0107a,1714075613,,1714080337,CYYZ,HRT381  ,,,2388.0,127.0,0,3
45,c82454,1714077857,NZCH,1714081977,NZCH,ZKHYI   ,797.0,114.0,763.0,84.0,1,3
46,e491b1,1714075860,,1714077244,SBGR,TAM3883 ,,,7581.0,256.0,0,2
47,0d0c6e,1714077011,KEBG,1714082231,KEBG,XBCMU   ,14968.0,1089.0,21197.0,944.0,0,1
48,346083,1714076341,LEMD,1714079632,LEPA,AEA6049 ,6790.0,191.0,4153.0,205.0,1,1
49,4408f4,1714076345,EDDB,1714081202,LFPG,TAY6DN  ,2354.0,89.0,3146.0,200.0,0,8
50,4841d9,1714075513,LIME,1714079952,EHRD,TRA76B  ,1318.0,203.0,600.0,80.0,1,1
51,4ca2c9,1714076286,EGBB,1714078673,EIDW,EIN27G  ,800.0,106.0,2178.0,131.0,0,4
52,7c80f8,1714078380,,1714081733,YSSY,RXA6517 ,,,1981.0,82.0,0,2
53,a04838,1714076480,KCMA,1714079303,KHND,N117WR  ,1406.0,151.0,441.0,25.0,2,4
54,a14ea8,1714076221,,1714079617,KOXR,N1833X  ,,,8948.0,443.0,0,2
55,a239de,1714079072,2TS4,1714081238,9XS1,CXK454  ,3937.0,1685.0,4855.0,954.0,3,9
56,a280a0,1714080393,KOSU,1714081573,KOSU,OSU26   ,6482.0,249.0,1033.0,70.0,5,19
57,a313bf,1714079791,KCLT,1714081317,KAVL,ENY3734 ,2846.0,290.0,4077.0,102.0,0,6
58,a32734,1714078253,KDAB,1714081607,KDAB,ERU302  ,263.0,12.0,3310.0,42.0,2,11
59,a40c2d,1714075474,,1714076929,KLRO,N36YV   ,,,4783.0,179.0,0,4
60,a51841,1714076801,KMDW,1714079554,KMKG,N4272C  ,3356.0,230.0,2818.0,6.0,0,3
61,a52259,1714076546,KPIE,1714078453,KPIE,N43SD   ,1047.0,33.0,933.0,41.0,1,5
62,a55fd7,1714075201,PAEN,1714078587,5AK9,N4452J  ,875.0,0.0,6565.0,868.0,5,64
63,a4e060,1714079160,KSDF,1714081921,17OH,N413MH  ,2743.0,167.0,6869.0,295.0,2,20
64,a65448,1714078170,KSGJ,1714080401,KGNV,FFY707  ,4320.0,652.0,4205.0,296.0,2,8
65,a5ce02,1714076923,KDEN,1714081519,61MU,UAL586  ,4585.0,150.0,3722.0,1378.0,5,14
66,a5e180,1714078505,43TN,1714079171,2TN8,N4782R  ,3593.0,1036.0,15019.0,928.0,0,9
67,a72213,1714075659,KPHL,1714080161,KCMH,JIA5408 ,2016.0,133.0,5173.0,124.0,1,16
68,a768ee,1714077002,KTTN,1714082122,KTTN,N577FG  ,1110.0,26.0,3456.0,140.0,2,17
69,a6d43f,1714078594,KCHD,1714080358,KP08,N5390L  ,471.0,93.0,3076.0,251.0,2,3
70,a84a2f,1714077525,KMAF,1714080352,KPWA,N633PJ  ,4511.0,1037.0,1740.0,91.0,2,10
71,a95962,1714075342,KSTP,1714080408,KBIS,N701MK  ,582.0,44.0,1492.0,110.0,3,4
72,a988cc,1714075441,KLBB,1714078119,TS53,SKW3180 ,4079.0,470.0,4226.0,95.0,0,25
73,a98fc5,1714076812,KPAO,1714077667,KPAO,N715MT  ,270.0,69.0,81.0,69.0,2,6
74,a9c10b,1714077053,KBVY,1714081983,KBVY,N7278P  ,292.0,58.0,1938.0,24.0,1,4
75,aa7a4b,1714078326,KSEE,1714079688,KOKB,N7740R  ,1248.0,156.0,1631.0,52.0,1,3
76,ab6162,1714079523,KDTW,1714082207,KROC,SKW3952 ,630.0,39.0,702.0,132.0,0,12
77,aae926,1714077158,54GA,1714080012,57GA,N80189  ,6905.0,269.0,13476.0,306.0,10,3
78,ac89a6,1714078002,PABV,1714082194,AK19,N907EW  ,2217.0,409.0,3147.0,1295.0,10,8
79,ad0e22,1714078903,KIND,1714079534,IN98,LTA940  ,3299.0,320.0,6359.0,495.0,2,29
80,ad1fee,1714078965,KBOS,1714081499,KLEB,KAP3130 ,902.0,97.0,367.0,107.0,0,3
81,ad3c16,1714078355,KSNA,1714081701,KPHX,AAL2640 ,2402.0,295.0,805.0,3.0,0,10
82,ace7bf,1714077309,KLGA,1714080325,VA19,EDV5336 ,218.0,105.0,2111.0,1221.0,0,8
83,ae2ede,1714075362,,1714076785,KNGP,RNGR805 ,,,793.0,306.0,0,8
84,ae4a29,1714077712,KNSE,1714079963,K12J,BB160   ,5436.0,663.0,11397.0,1577.0,5,3
85,ae77d8,1714080063,KBDR,1714081003,KHVN,R21267  ,10161.0,88.0,14643.0,644.0,0,4
86,adb656,1714077165,,1714078259,KMIA,AAL1400 ,,,4948.0,111.0,0,7
87,adaef7,1714076644,KEUL,1714079726,KEUL,N981BC  ,284.0,81.0,1944.0,119.0,5,14
88,adc943,1714075508,KTEB,1714078299,KACK,GPD988  ,994.0,40.0,2008.0,44.0,0,2
89,e480a2,1714077857,,1714078918,SBSP,TAM3071 ,,,4688.0,142.0,0,2
90,151dab,1714076864,,1714079566,VIDP,AFL232  ,,,3194.0,136.0,0,1
91,0a0018,1714076729,,1714080601,LEMD,DAH2206 ,,,2174.0,8.0,0,3
92,0d0d2b,1714075805,,1714077378,,VIV2166 ,,,,,0,0
93,0d0ec2,1714079023,,1714079876,,VIV4393 ,,,,,0,0
94,40093f,1714075442,EGLL,1714079179,EDDV,BAW978J ,779.0,119.0,3196.0,157.0,2,2
95,a067ec,1714076824,,1714080618,,SKW4788 ,,,,,0,0
96,a16037,1714075328,,1714077119,KPHX,AAL2420 ,,,602.0,4.0,0,10
97,a0e1c6,1714076824,KIAD,1714079590,49OH,N156PH  ,1136.0,95.0,4666.0,300.0,2,18
98,a23ef1,1714075452,PANC,1714079807,PANC,AERT6   ,871.0,8.0,769.0,8.0,7,14
99,a1d3f5,1714076145,KEVB,1714078499,KEVB,EPI5I0  ,444.0,18.0,1173.0,3.0,2,6
100,a39269,1714081178,KACK,1714082383,KEWB,KAP33   ,661.0,6.0,2951.0,173.0,0,7
101,a39269,1714077201,KBOS,1714079069,KACK,KAP33   ,1052.0,105.0,2153.0,44.0,0,2
102,a2a06d,1714076899,KDPA,1714079352,94IS,N269AA  ,3305.0,309.0,10132.0,1254.0,0,8
103,a43b5a,1714077547,KLOT,1714081414,KLOT,N372BH  ,1189.0,67.0,3216.0,82.0,2,13
104,a48850,1714076531,EIDW,1714081359,EDDK,UPS249  ,1693.0,86.0,2402.0,98.0,1,2
105,a55d7b,1714079028,KMIV,1714079728,89NJ,N445D   ,2893.0,339.0,2593.0,809.0,1,9
106,a55d7b,1714075964,KTTN,1714078011,KMIV,N445D   ,1203.0,56.0,1840.0,187.0,2,12
107,a4bc93,1714075260,,1714078166,KRYY,FWK404  ,,,4780.0,140.0,0,7
108,a609d4,1714078535,KMSY,1714081427,KIAH,UAL481  ,1218.0,24.0,11697.0,1791.0,1,7
109,a65bf2,1714079040,KPIT,1714082208,KTEB,LXJ509  ,945.0,166.0,2429.0,12.0,3,3
110,a5de70,1714076551,KC29,1714077939,KC29,N4777H  ,324.0,69.0,532.0,69.0,1,19
111,a719a1,1714077792,1MS2,1714079388,KM11,N557CC  ,5480.0,1107.0,10225.0,1053.0,0,3
112,a737c7,1714076250,KBNA,1714080209,KMDW,SWA2934 ,2370.0,61.0,934.0,82.0,0,2
113,a74491,1714077854,80GA,1714078738,80GA,N5679U  ,7840.0,1091.0,6040.0,816.0,3,14
114,a73c08,1714077427,KCHK,1714078495,KCHK,N5651R  ,2257.0,258.0,2422.0,167.0,2,7
115,a78d6b,1714076520,KATL,1714078973,KCLT,JIA5260 ,1900.0,167.0,7163.0,244.0,2,8
116,a6f0f5,1714077250,KMNN,1714078620,KOSU,OSU54   ,10087.0,1571.0,1244.0,32.0,1,19
117,a828d5,1714079731,KPGV,1714082110,KCLT,PDT5788 ,10458.0,1211.0,8586.0,320.0,0,7
118,a9e957,1714076676,KPNS,1714081061,KPNS,N738FY  ,2476.0,176.0,2677.0,115.0,2,15
119,a9e8cf,1714075293,KSAN,1714076254,KOKB,N738AM  ,3176.0,78.0,1043.0,37.0,3,3
120,a9eca9,1714078746,8OA9,1714081626,8OA9,N739BX  ,2163.0,16.0,3425.0,47.0,7,18
121,aa4c87,1714075913,,1714077809,KDEN,UAL1638 ,,,2988.0,226.0,0,19
122,ab038b,1714078381,,1714080337,02AL,N809CN  ,,,7509.0,720.0,0,14
123,aab352,1714080362,KCMA,1714081385,KSMO,N789PZ  ,1747.0,121.0,288.0,46.0,2,8
124,abd254,1714077742,KAUS,1714081279,KMSY,SWA2114 ,1721.0,40.0,862.0,54.0,3,5
125,abf4cb,1714076850,1FA9,1714077508,KX07,N87JF   ,6655.0,1025.0,2386.0,1241.0,3,12
126,ad3b95,1714077528,KMQJ,1714080126,4II2,N684JA  ,3021.0,430.0,2555.0,57.0,4,26
127,c045aa,1714076972,CYSA,1714077799,CYKF,CGAJX   ,370.0,126.0,3725.0,112.0,0,8
128,c04830,1714077548,CEZ3,1714081524,CEZ3,CGBIT   ,235.0,64.0,305.0,64.0,1,4
129,c04d0a,1714078817,,1714080449,CYVR,WEN3203 ,,,2440.0,102.0,0,2
130,c80daf,1714080726,NZRC,1714081583,NZNV,RKU1    ,4080.0,598.0,1099.0,135.0,0,0
131,c80daf,1714078903,NZNV,1714079768,NZRC,RKU1    ,257.0,128.0,6044.0,506.0,0,0
132,c80daf,1714077126,NZRC,1714077989,NZNV,RKU1    ,6041.0,552.0,933.0,128.0,0,0
133,c80daf,1714075299,NZNV,1714076142,NZRC,RKU1    ,350.0,143.0,7158.0,491.0,0,0
134,447d23,1714077044,,1714078710,LOXT,BLACK73 ,,,1519.0,68.0,0,1
135,47875a,1714080309,ENGM,1714082229,ENHD,NOZ6TM  ,2842.0,196.0,21330.0,1452.0,0,0
136,47875a,1714075620,ENZV,1714077749,ENGM,NOZ547  ,2157.0,219.0,1243.0,43.0,0,1
137,3b75ef,1714078987,LFBG,1714080400,LFBG,MFA32   ,4981.0,1066.0,6528.0,814.0,1,2
138,3c4dd2,1714079359,EDDM,1714082387,EPWR,DLH6NH  ,1161.0,49.0,8901.0,501.0,0,2
139,505caf,1714077572,LOWW,1714081057,EDDP,BCS4773 ,1015.0,22.0,1197.0,48.0,0,6
140,4b43ab,1714080222,LSZM,1714081429,EDSW,RGA02   ,1824.0,50.0,9921.0,495.0,1,3
141,4d2495,1714075563,,1714077827,MMTJ,VIV3120 ,,,1739.0,27.0,0,3
142,4caf82,1714079580,EKCH,1714081120,ESGG,SAS448  ,1820.0,345.0,3026.0,142.0,0,1
143,8963b2,1714076474,,1714077247,OMDB,FDB20   ,,,2288.0,49.0,0,2
144,a05521,1714076182,KPSP,1714079712,KSJC,EJA120  ,513.0,182.0,1228.0,26.0,0,3
145,a10ae2,1714079546,NC30,1714081002,NC30,N1664F  ,1744.0,71.0,2866.0,132.0,10,24
146,a11e7a,1714078696,KRFD,1714079758,LL53,N171SF  ,5052.0,634.0,8668.0,295.0,6,23
147,a16da1,1714076141,KSAT,1714078145,KAUS,N191TX  ,1433.0,126.0,1760.0,17.0,1,6
148,a233da,1714078961,KJNX,1714081817,NC22,N241BL  ,2589.0,270.0,13609.0,1094.0,0,8
149,a26d2a,1714080311,KSGJ,1714081269,KHEG,N2555T  ,8092.0,728.0,3090.0,217.0,0,7
150,a1a36b,1714075421,KHDC,1714077260,38LS,N2041S  ,2537.0,313.0,20904.0,1318.0,3,5
151,a1ecff,1714078362,,1714081347,KDEN,SKW5038 ,,,3483.0,257.0,0,18
152,a1ee64,1714078473,KMQY,1714079892,TN12,CXK553  ,1574.0,444.0,6352.0,1104.0,2,7
153,a2b2d1,1714078263,KLAF,1714082105,KLAF,N273ND  ,673.0,78.0,668.0,85.0,2,14
154,a93f03,1714080715,K5C1,1714081865,77TS,N695TS  ,414.0,19.0,5014.0,251.0,0,22
155,a9e737,1714078068,KLZU,1714078994,97GA,N737YE  ,308.0,11.0,6643.0,518.0,0,6
156,aa234a,1714075845,KLGA,1714080635,KDTW,AAL1374 ,316.0,105.0,3660.0,9.0,0,9
157,aa87e4,1714079981,KSYR,1714081997,KTEB,EJM778  ,6707.0,1106.0,2578.0,27.0,2,3
158,aa8e67,1714076682,KM33,1714078092,KTYS,N78CH   ,7705.0,1041.0,2146.0,24.0,1,15
159,aaf3cd,1714077752,FA69,1714078576,KFXE,N8045N  ,14195.0,1291.0,7666.0,270.0,0,5
160,aafda1,1714077971,KEWR,1714080229,KBOS,UAL212  ,546.0,89.0,731.0,112.0,1,3
161,ac610a,1714076735,KPIM,1714077355,K7A3,N897TM  ,6474.0,227.0,9002.0,327.0,1,5
162,abe4db,1714075714,KDCA,1714081091,KBNA,SWA559  ,514.0,88.0,2960.0,30.0,1,3
163,abf696,1714077703,KSVH,1714078339,K14A,N870CP  ,411.0,13.0,969.0,4.0,2,18
164,acb251,1714075943,KDEN,1714080531,KBIS,SKW4673 ,4467.0,150.0,769.0,80.0,5,4
165,ade088,1714079503,06TN,1714080747,KJWN,N99329  ,14210.0,658.0,3882.0,146.0,0,4
166,c05226,1714079731,CNC4,1714082118,CNC4,CGFCV   ,565.0,30.0,1536.0,7.0,1,13
167,c05bb6,1714075322,CYOW,1714077678,CYHU,MAX220  ,770.0,14.0,387.0,118.0,1,8
168,c81e27,1714075702,NZAA,1714079479,NZCH,ANZ523  ,3385.0,381.0,962.0,114.0,0,3
169,0d0c18,1714077031,,1714079109,MMMX,GMT734  ,,,1390.0,65.0,0,1
170,406091,1714075262,EGLL,1714077741,EGNT,SHT12T  ,970.0,172.0,1380.0,117.0,2,0
171,440828,1714079311,LOWW,1714080772,LOWG,AUA9LB  ,1232.0,15.0,119.0,10.0,0,1
172,a002b1,1714080199,KTHV,1714081571,KFDK,N10DL   ,1740.0,62.0,2163.0,29.0,7,19
173,a037c0,1714075518,KJQF,1714081121,KCHA,N113ED  ,79.0,16.0,3626.0,157.0,6,5
174,a07c05,1714077695,KSBD,1714081229,KVNY,N130JM  ,3288.0,561.0,308.0,61.0,1,3
175,a0b168,1714076853,KMHT,1714080357,KISP,N1439   ,2612.0,216.0,3254.0,68.0,0,2
176,a20c51,1714077380,,1714078340,KRHV,N231BA  ,,,492.0,48.0,0,2
177,a244f5,1714079567,4IN9,1714081122,5IN5,N2450L  ,4315.0,554.0,4779.0,492.0,5,13
178,a2685b,1714075484,KLAS,1714077896,KSNA,SWA1795 ,1015.0,36.0,3380.0,104.0,2,2
179,a25ddd,1714078696,PS35,1714079398,PA86,N2512K  ,2557.0,45.0,9131.0,359.0,6,16
180,a2766f,1714075622,KABQ,1714080443,KDFW,ENY3399 ,484.0,6.0,4565.0,135.0,0,22
181,a2b320,1714080000,,1714081206,KLAS,JANET82 ,,,2111.0,21.0,0,3
182,a2fe3c,1714076161,KRIC,1714079516,KJFK,EDV5301 ,2761.0,307.0,2782.0,42.0,2,2
183,a580b6,1714081177,KPOU,1714082117,0NK8,N4538E  ,10982.0,772.0,5486.0,807.0,1,10
184,a6358a,1714079346,KCLL,1714081925,4TS8,N5DA    ,9521.0,1594.0,4309.0,1664.0,1,5
185,a6358a,1714076051,KSGR,1714076838,XS18,N5DA    ,8101.0,1476.0,7207.0,1555.0,1,8
186,a6996a,1714075806,KRYY,1714077622,3GA0,N524SR  ,8512.0,521.0,637.0,102.0,0,17
187,a7548c,1714079351,KL70,1714080883,KCMA,N5710V  ,10659.0,1322.0,2774.0,52.0,2,2
188,a6f4da,1714075785,KAEG,1714082203,58XS,N5474J  ,1171.0,34.0,19258.0,1482.0,0,0
189,a980f6,1714080801,FD89,1714081836,KPNS,BL1NF   ,10706.0,877.0,4993.0,176.0,3,15
190,a980f6,1714077756,KPNS,1714078827,FD89,BL1NF   ,2228.0,176.0,8510.0,664.0,2,11
191,aa0231,1714075410,KACK,1714077811,KLWM,N744JC  ,738.0,14.0,2553.0,84.0,0,7
192,ab2496,1714075666,,1714080504,KDFW,AAL1393 ,,,6582.0,241.0,0,22
193,ab5884,1714077053,KPTK,1714078996,KFNT,N830BS  ,389.0,36.0,2259.0,17.0,0,10
194,ab62ad,1714076227,KMDW,1714078642,KCMH,SWA1225 ,1614.0,108.0,6583.0,216.0,0,16
195,aab6d0,1714079359,KEMT,1714082147,KEMT,N79MS   ,223.0,29.0,199.0,29.0,0,3
196,abd2b3,1714076273,5MS3,1714080526,KDTS,N861BM  ,2568.0,1430.0,2183.0,92.0,2,4
197,abd3d4,1714078460,KVRB,1714080381,4FL3,N861PA  ,3800.0,282.0,5629.0,724.0,4,13
198,ad7224,1714080396,KVNY,1714081739,KFUL,N96575  ,147.0,29.0,1536.0,62.0,2,7
199,ad7f3a,1714079454,KMKE,1714081009,KORD,SKW5502 ,395.0,45.0,6738.0,176.0,0,4
200,acb1f5,1714078473,KJFK,1714082209,KJFK,N917PD  ,8462.0,57.0,10099.0,49.0,0,2
201,ace76b,1714076553,4VA3,1714077389,69VA,N930U   ,10491.0,213.0,8095.0,243.0,0,12
202,ae1481,1714075326,KFTW,1714078496,KGGG,RANGR41 ,3411.0,408.0,5413.0,1092.0,2,5
203,ae2053,1714077491,KCEW,1714081156,FA55,DEALS06 ,413.0,34.0,19541.0,387.0,3,6
204,ae29d9,1714077780,,1714078759,KABQ,TACO77  ,,,3602.0,67.0,0,1
205,ae6332,1714076750,K0J4,1714079067,KEDN,BELLS22 ,9110.0,521.0,958.0,1375.0,0,8
206,adffeb,1714076779,,1714077610,,GRIM42  ,,,,,0,0
207,c0550c,1714076520,CYOW,1714079408,CYQB,JZA7750 ,859.0,45.0,1457.0,59.0,1,4
208,c055c6,1714079860,CYVR,1714080672,CYYJ,JZA320  ,1373.0,56.0,4143.0,224.0,0,8
209,c0570a,1714079947,CNQ3,1714080619,CYSN,CGGYZ   ,203.0,71.0,683.0,105.0,1,6
210,406b91,1714078839,EGPF,1714081986,EGGD,EZY54CM ,1999.0,388.0,574.0,84.0,0,0
211,495297,1714076945,LEMD,1714080187,LPPT,TAP21MM ,5183.0,99.0,1541.0,14.0,1,4
212,4951cb,1714077702,LPPT,1714079745,LPPR,TAP36RC ,545.0,0.0,3271.0,113.0,1,2
213,4d20f8,1714076089,EDDS,1714078891,EBMB,VJT895  ,252.0,37.0,425.0,92.0,0,3
214,4ca893,1714075261,,1714080883,LIME,RYR2683 ,,,3385.0,119.0,0,1
215,7c79b4,1714077362,YPPF,1714081268,YPPF,YBQ     ,410.0,131.0,759.0,108.0,2,4
216,a110c1,1714077332,KHND,1714079672,KSNA,N168PX  ,220.0,10.0,3145.0,97.0,1,2
217,a1d188,1714075950,KRDD,1714077169,KRBL,N216TU  ,577.0,16.0,7486.0,1035.0,0,5
218,a1ec6e,1714076314,KMIA,1714077298,7FD6,N223CX  ,1476.0,111.0,13309.0,910.0,1,4
219,a3338c,1714077624,KMSP,1714079957,,SKW3826 ,1143.0,42.0,,,1,0
220,a3516e,1714080645,K42I,1714082379,KOSU,N3126E  ,1695.0,185.0,1207.0,32.0,5,19
221,a2d143,1714076470,KFFZ,1714080568,KFFZ,OXF7049 ,143.0,9.0,868.0,32.0,0,7
222,a2d0bb,1714079160,KFFZ,1714080556,KA39,OXF1122 ,204.0,17.0,2956.0,342.0,0,9
223,a48aab,1714075395,KDAB,1714082063,KDAB,ERU392  ,681.0,12.0,3013.0,12.0,2,11
224,a3dc5a,1714075353,KDTW,1714077656,KBUF,EDV5195 ,637.0,70.0,438.0,130.0,0,15
225,a3f3fd,1714078971,KMEI,1714079868,K00M,N354DJ  ,5454.0,1250.0,18976.0,1234.0,0,1
226,a5706f,1714077784,,1714079369,KX10,N45GX   ,,,6690.0,2159.0,0,3
227,a593a0,1714075882,KGRR,1714078030,KORD,AWI6182 ,2207.0,154.0,4672.0,39.0,4,4
228,a4ec6b,1714075313,KBUR,1714078584,KOAK,SWA6140 ,1109.0,105.0,1203.0,56.0,2,5
229,a6867a,1714078115,KVNY,1714081835,KVNY,N5199J  ,689.0,38.0,472.0,38.0,2,3
230,a67a86,1714077330,KCMI,1714082292,KCMI,ILU63M  ,1080.0,47.0,1236.0,47.0,3,15
231,a740f1,1714081289,KPSM,1714082129,KBED,CNS1    ,1867.0,22.0,1221.0,40.0,1,7
232,a7f90d,1714080541,KPUJ,1714081194,KRYY,JED154  ,6144.0,491.0,3310.0,94.0,0,7
233,a7f90d,1714076335,KRYY,1714078159,KPUJ,JED154  ,2444.0,208.0,2302.0,26.0,1,9
234,a9ee38,1714075697,KLVK,1714078253,KPAO,N739TW  ,1938.0,274.0,673.0,62.0,1,6
235,aa19c8,1714075831,,1714078065,KSAT,N75XL   ,,,3297.0,103.0,0,12
236,ab3384,1714081138,KLGB,1714082230,KLGB,N8202L  ,599.0,12.0,1156.0,12.0,3,8
237,ab7267,1714075381,,1714077269,MMMX,AMX317  ,,,2048.0,42.0,0,1
238,abfb99,1714076051,KORD,1714080749,,ENY3578 ,1796.0,84.0,,,0,0
239,acca85,1714076976,,1714081045,KLBE,NKS3842 ,,,7349.0,198.0,0,3
240,acda97,1714077502,KNEW,1714079180,KNEW,N9270V  ,85.0,2.0,1263.0,10.0,0,5
241,ae0e37,1714080939,KBNA,1714081605,TN81,G26642  ,1854.0,30.0,2734.0,161.0,0,10
242,c0796d,1714075598,NY24,1714079292,NY24,CGTZO   ,8535.0,93.0,8676.0,86.0,3,12
243,c80ed7,1714081151,NZGS,1714082037,NZGS,ZKLTP   ,11528.0,422.0,12434.0,391.0,0,0
244,c82846,1714075565,,1714076616,NZCH,AMD1    ,,,1190.0,160.0,0,3
245,e4851b,1714078474,SBSP,1714080495,,TAM3082 ,1634.0,89.0,,,1,0
246,484162,1714078723,EHAM,1714081828,EGNT,KLM961  ,1794.0,117.0,789.0,78.0,0,0
247,4acaa3,1714078644,ENGM,1714080570,ENZV,SAS4051 ,8154.0,775.0,2865.0,135.0,0,0
248,4d235a,1714076820,EDDM,1714080353,EDDH,EWG2AE  ,1221.0,64.0,3140.0,113.0,0,3
249,868dd7,1714076622,,1714081997,RJAA,ANA8404 ,,,2557.0,40.0,0,0
250,7c39f1,1714077396,YSTW,1714080029,YSSY,QLK1D   ,674.0,56.0,2196.0,82.0,0,2
251,a15e9a,1714076836,6TE0,1714080864,KEDC,N188CD  ,1612.0,1482.0,2469.0,123.0,3,16
252,a0e58a,1714076761,KPDK,1714081126,FL90,N157PW  ,137.0,54.0,14177.0,2467.0,1,4
253,a46e39,1714076159,KSPG,1714080992,KSPG,N385DS  ,2035.0,119.0,1829.0,96.0,0,6
254,a499a6,1714076896,,1714080791,KSUS,LXJ396  ,,,3260.0,49.0,0,10
255,a50c12,1714075568,KCLL,1714078755,KSAT,N424SG  ,11749.0,1464.0,3383.0,142.0,1,12
256,a610c7,1714076598,,1714078489,KPHX,N490H   ,,,8270.0,50.0,0,11
