,icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,true_track,vertical_rate,sensors,geo_altitude,squawk,spi,position_source,category
0,a2d2c8,N281MC  ,United States,1714313114.0,1714313114,-77.1205,42.9277,464.82,False,73.59,88.4,0.0,,487.68,,False,0,0
1,4b1815,SWR9YP  ,Switzerland,1714313114.0,1714313115,6.6933,47.5107,10058.4,False,200.87,272.79,8.13,,10149.84,3027,False,0,0
2,a89ea5,N6545H  ,United States,1714312994.0,1714312994,-102.153,32.3745,1158.24,False,58.15,178.48,0.0,,1089.66,,False,0,0
3,a09281,N136LM  ,United States,1714312989.0,1714312991,-85.8897,35.1455,2011.68,False,47.67,136.31,-1.3,,2141.22,,False,0,0
4,ac96b8,,United States,1714312907.0,1714312907,-71.0186,42.3602,,True,0.0,30.94,,,,,False,0,0
5,e8027d,LPE2007 ,Chile,1714312826.0,1714312828,-75.425,-12.8708,8907.78,False,233.86,102.97,2.6,,9403.08,,False,0,0
6,aa56db,UAL2331 ,United States,1714313113.0,1714313115,-81.9402,32.1026,11277.6,False,229.2,27.83,0.0,,11689.08,,False,0,0
7,a7b08d,LXJ595  ,United States,1714313112.0,1714313112,-71.0223,42.375,,True,0.06,132.19,,,,,False,0,0
8,aa56da,UAL2650 ,United States,1714313115.0,1714313115,-118.4088,33.9379,,True,5.92,81.56,,,,4725,False,0,0
9,a3feec,,United States,,1714313093,,,,False,177.0,198.12,9.1,,,,False,0,0
10,4a8e07,SECPG   ,Sweden,1714313114.0,1714313114,17.2313,59.232,502.92,False,58.85,22.08,-0.33,,,1106,False,0,0
11,ade18c,AAL576  ,United States,1714313114.0,1714313114,-97.4825,33.4964,2773.68,False,144.03,163.18,0.0,,2811.78,3744,False,0,0
12,abd9d9,SWA5052 ,United States,1714313114.0,1714313114,-114.5281,36.1885,3413.76,False,129.67,190.28,-6.5,,3474.72,6672,False,0,0
13,ade191,DAL2473 ,United States,1714313115.0,1714313115,-75.3082,39.8538,388.62,False,101.06,253.13,4.55,,426.72,,False,0,0
14,801640,,India,1714313114.0,1714313114,77.2257,9.7104,7802.88,False,234.83,21.06,5.53,,8260.08,,False,0,0
15,842194,ADO44   ,Japan,1714313115.0,1714313115,139.9662,34.9433,3040.38,False,131.29,287.8,-2.28,,3185.16,3456,False,0,0
16,c07d23,CGVKC   ,Canada,1714313106.0,1714313106,-88.8015,48.8373,5364.48,False,100.77,32.07,4.55,,5463.54,,False,0,0
17,880454,AIQ3357 ,Thailand,1714313113.0,1714313114,100.7521,14.9135,4899.66,False,180.37,203.71,-8.78,,5257.8,,False,0,0
18,aaf633,UAL2041 ,United States,1714313114.0,1714313114,-104.4797,43.1,10972.8,False,230.48,270.38,0.0,,10965.18,4052,False,0,0
19,880458,AIQ3111 ,Thailand,1714312831.0,1714312831,100.6209,13.9414,160.02,False,68.61,208.68,-3.58,,137.16,,False,0,0
20,a305fd,SKW3991 ,United States,1714313057.0,1714313057,-93.2041,44.883,,True,2.57,210.94,,,,,False,0,0
21,880456,,Thailand,1714312767.0,1714313030,98.4229,13.5056,8534.4,False,237.15,254.4,0.0,,9174.48,,False,0,0
22,a678e5,JTZ516  ,United States,1714313113.0,1714313113,-115.1603,36.0996,,True,0.0,112.5,,,,,False,0,0
23,a34230,EJA309  ,United States,1714313109.0,1714313114,-73.8813,40.7775,,True,0.0,317.81,,,,,False,0,0
24,aa56d8,UAL573  ,United States,1714313115.0,1714313115,-120.4481,37.6938,9006.84,False,215.79,261.64,-13.33,,9250.68,1404,False,0,0
25,a34e6a,ENY3650 ,United States,1714313114.0,1714313115,-83.9021,30.3371,10668.0,False,234.27,161.96,0.33,,11109.96,4013,False,0,0
26,4b1806,SWR210A ,Switzerland,1714313114.0,1714313114,0.7722,43.3271,11582.4,False,259.81,52.56,0.0,,11628.12,1000,False,0,0
27,aa56d4,UAL1306 ,United States,1714313114.0,1714313114,-71.6832,42.8936,8633.46,False,202.36,316.85,8.78,,8854.44,,False,0,0
28,4b1809,SWR890M ,Switzerland,1714313115.0,1714313115,8.5681,47.7691,3634.74,False,131.97,168.08,-5.53,,3749.04,1200,False,0,0
29,ac96c8,N910BD  ,United States,1714313114.0,1714313114,-81.8762,26.9118,3398.52,False,98.67,348.57,5.85,,3550.92,,False,0,0
30,a438fa,N371RA  ,United States,1714313114.0,1714313114,-81.9776,28.3299,1310.64,False,80.06,206.73,0.0,,1386.84,,False,0,0
31,51111e,JAF9MH  ,Estonia,1714313113.0,1714313114,4.4946,50.9013,,True,6.94,5.62,,,,,False,0,0
32,801647,IGO277W ,India,1714312915.0,1714312915,77.0836,28.5614,,True,1.29,329.06,,,,,False,0,0
33,4b1800,SWR1958 ,Switzerland,1714313115.0,1714313115,8.3269,47.4826,2697.48,False,133.18,234.59,16.58,,2788.92,3042,False,0,0
34,4b1801,,Switzerland,,1714313113,,,,False,7.46,132.19,,,,,False,0,0
35,a798c6,EJA589  ,United States,1714313113.0,1714313113,-82.238,37.6669,9448.8,False,209.09,357.32,-0.33,,9791.7,,False,0,0
36,801657,AIC667  ,India,1714313113.0,1714313114,75.2035,13.6215,11277.6,False,235.59,153.83,0.0,,11993.88,,False,0,0
37,ab63b7,N833CF  ,United States,1714313114.0,1714313114,-80.1768,32.973,2179.32,False,79.19,33.07,0.0,,2301.24,,False,0,0
38,aa9f3f,SWA4128 ,United States,1714313114.0,1714313114,-107.7414,36.1886,10972.8,False,224.11,232.37,0.0,,11064.24,3602,False,0,0
39,4952ca,TAP1127 ,Portugal,1714313099.0,1714313101,-15.1047,31.2831,11574.78,False,248.06,32.21,0.0,,11765.28,,False,0,0
40,4952cb,TAP782  ,Portugal,1714313114.0,1714313114,-1.3118,46.8007,11582.4,False,253.11,36.99,0.0,,11506.2,1165,False,0,0
41,acdfa0,WUP929  ,United States,1714313114.0,1714313114,-77.0071,40.2046,4099.56,False,133.01,237.48,15.93,,4274.82,1716,False,0,0
42,acdfa3,ASA458  ,United States,1714313115.0,1714313115,-100.9287,42.0499,10972.8,False,219.87,255.09,-0.33,,10995.66,7056,False,0,0
43,a678f6,N516NS  ,United States,1714313115.0,1714313115,-113.1518,42.0933,3162.3,False,56.92,330.19,2.28,,3185.16,,False,0,0
44,880444,AIQ3183 ,Thailand,1714313113.0,1714313114,100.627,14.1428,1272.54,False,116.55,100.17,-5.2,,1341.12,,False,0,0
45,a10e8b,UAL1913 ,United States,1714313115.0,1714313115,-89.378,32.424,11582.4,False,235.22,247.36,0.0,,11986.26,5625,False,0,0
46,511163,IGO260F ,Estonia,1714312912.0,1714312912,77.0868,28.5621,,True,2.06,284.06,,,,,False,0,0
47,80160a,IGO6089 ,India,1714312970.0,1714312970,80.1506,12.9833,91.44,False,70.99,69.2,-3.58,,0.0,,False,0,0
48,a3a575,JBU455  ,United States,1714313114.0,1714313115,-75.649,38.7825,4800.6,False,181.7,265.29,0.0,,4998.72,3474,False,0,0
