,icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,true_track,vertical_rate,sensors,geo_altitude,squawk,spi,position_source,category
0,4b1815,SWR9YP  ,Switzerland,1714314572.0,1714314572,3.2805,49.3686,11582.4,False,234.67,311.62,-0.33,,11536.68,3027,False,0,0
1,a89ea5,N6545H  ,United States,1714314362.0,1714314362,-102.2226,32.4122,1158.24,False,59.39,165.96,-1.63,,1104.9,,False,0,0
2,a09281,N136LM  ,United States,1714314571.0,1714314571,-85.3396,34.6911,2011.68,False,43.52,147.06,-1.63,,2133.6,,False,0,0
3,e8027b,LAN535  ,Chile,1714314572.0,1714314572,-76.9109,-13.3573,8572.5,False,228.26,157.19,6.83,,9182.1,,False,0,0
4,ac96b8,AAL622  ,United States,1714314561.0,1714314562,-71.2248,42.1349,6606.54,False,182.22,268.06,18.86,,6781.8,,False,0,0
5,e8027e,LPE2119 ,Chile,1714314572.0,1714314572,-76.7069,-12.3858,4411.98,False,186.13,116.07,13.33,,4671.06,,False,0,0
6,a5cb05,N4721B  ,United States,1714314571.0,1714314571,-81.976,28.2122,640.08,False,26.24,91.12,-3.25,,708.66,,False,0,0
7,aa56db,UAL2331 ,United States,1714314571.0,1714314571,-80.1365,34.6331,11277.6,False,226.48,32.57,0.0,,11666.22,,False,0,0
8,a7b08d,LXJ595  ,United States,1714314572.0,1714314572,-71.7022,42.704,6705.6,False,179.31,280.25,0.0,,6888.48,,False,0,0
9,88044a,AIQ3168 ,Thailand,1714314523.0,1714314523,99.89,13.1411,11887.2,False,231.98,183.69,-0.33,,12717.78,,False,0,0
10,a22258,N23685  ,United States,1714314570.0,1714314572,-79.4019,36.3279,1554.48,False,87.28,11.91,0.0,,1676.4,,False,0,0
11,a3feec,N357BE  ,United States,1714314431.0,1714314431,-105.2026,45.118,6598.92,False,203.22,197.38,-13.0,,6659.88,,False,0,0
12,4a8e07,SECPG   ,Sweden,1714314571.0,1714314571,17.6456,59.5134,297.18,False,43.01,173.13,-0.33,,,1106,False,0,0
13,7c6b2d,JST988  ,Australia,1714314570.0,1714314572,117.9047,-32.3932,10363.2,False,201.31,292.7,0.0,,10683.24,3633,False,0,0
14,a808bb,N61697  ,United States,1714314572.0,1714314572,-81.4205,27.435,1981.2,False,46.68,328.06,0.33,,2065.02,,False,0,0
15,88044d,AIQ3444 ,Thailand,1714314526.0,1714314526,99.0832,18.7143,3185.16,False,149.12,154.67,13.0,,3360.42,,False,0,0
16,801641,AXB1596 ,India,1714314398.0,1714314398,77.7171,13.192,,True,8.75,270.0,,,,,False,0,0
17,abd9d9,SWA5052 ,United States,1714314563.0,1714314572,-115.1444,36.0796,,True,0.0,357.19,,,,6672,False,0,0
18,ade191,DAL2473 ,United States,1714314561.0,1714314563,-78.486,40.2239,9761.22,False,226.59,283.66,0.0,,10126.98,2641,False,0,0
19,801640,AIC802  ,India,1714314571.0,1714314571,77.505,12.6928,10972.8,False,232.33,13.57,0.0,,11681.46,,False,0,0
20,a665b9,LXJ511  ,United States,1714314569.0,1714314570,-80.9968,28.4815,13609.32,False,211.54,340.24,2.93,,14081.76,,False,0,0
21,801643,AXB1643 ,India,1714314571.0,1714314571,82.013,15.4416,11582.4,False,227.95,222.44,0.0,,12313.92,,False,0,0
22,880453,AIQ523  ,Thailand,1714314571.0,1714314571,101.8274,12.9976,10972.8,False,235.28,227.84,0.0,,11803.38,,False,0,0
23,aaf633,UAL2041 ,United States,1714314524.0,1714314524,-108.2965,42.8384,10995.66,False,219.58,259.74,-0.33,,11003.28,4052,False,0,0
24,a678e5,JTZ516  ,United States,1714314563.0,1714314572,-115.1603,36.0996,,True,0.0,112.5,,,,,False,0,0
25,880455,AIQ158  ,Thailand,1714314570.0,1714314570,100.0341,14.3784,10972.8,False,232.59,346.7,-0.33,,11780.52,,False,0,0
26,a34230,EJA309  ,United States,1714314570.0,1714314572,-73.833,40.8583,2720.34,False,131.57,299.77,13.0,,2834.64,3040,False,0,0
27,aa56d8,UAL573  ,United States,1714314508.0,1714314508,-122.3825,37.6188,,True,4.37,208.12,,,,1313,False,0,0
28,a34e6a,ENY3650 ,United States,1714314573.0,1714314573,-82.4657,27.5226,10668.0,False,238.14,154.27,0.0,,11148.06,4013,False,0,0
29,4b1806,SWR210A ,Switzerland,1714314572.0,1714314572,4.5908,45.1692,8465.82,False,241.25,61.47,-4.55,,8587.74,1000,False,0,0
30,aa56d4,UAL1306 ,United States,1714314558.0,1714314558,-75.0758,43.1086,10972.8,False,197.55,269.55,-0.33,,11262.36,3462,False,0,0
31,a90ea8,DAL2343 ,United States,1714314571.0,1714314571,-80.3305,26.3,3337.56,False,167.34,286.43,4.55,,3451.86,,False,0,0
32,4b1809,SWR890M ,Switzerland,1714314572.0,1714314572,8.5557,47.4544,,True,0.0,185.62,,,,2000,False,0,0
33,ac96c8,N910BD  ,United States,1714314572.0,1714314572,-82.5435,27.971,7.62,False,37.05,91.59,-1.63,,53.34,4743,False,0,0
34,a438fa,N371RA  ,United States,1714314306.0,1714314306,-82.6387,27.7608,7.62,False,42.37,60.95,-5.2,,45.72,,False,0,0
35,51111e,JAF9MH  ,Estonia,1714314570.0,1714314571,2.8425,49.4849,9654.54,False,194.62,225.11,0.0,,9540.24,7143,False,0,0
36,801647,IGO277W ,India,1714314571.0,1714314571,77.328,28.2971,4808.22,False,199.32,121.6,7.48,,4975.86,,False,0,0
37,4b1800,SWR1958 ,Switzerland,1714314571.0,1714314571,6.2359,45.857,10668.0,False,182.61,196.7,0.0,,10774.68,3042,False,0,0
38,4b1801,SWR2MX  ,Switzerland,1714314572.0,1714314572,10.7657,47.194,9144.0,False,212.89,316.66,0.0,,9342.12,1000,False,0,0
39,a798c6,EJA589  ,United States,1714314562.0,1714314562,-82.6132,39.9855,853.44,False,108.48,277.63,1.63,,899.16,1346,False,0,0
40,801657,AIC667  ,India,1714314470.0,1714314473,76.4944,11.0387,11277.6,False,233.54,154.28,-0.33,,12001.5,,False,0,0
41,aa9f3f,SWA4128 ,United States,1714314571.0,1714314571,-110.4993,34.4303,10370.82,False,214.76,234.06,-5.2,,10530.84,3602,False,0,0
42,880443,AIQ5421 ,Thailand,1714314520.0,1714314523,98.9625,18.6178,1089.66,False,99.8,0.0,-5.85,,1120.14,,False,0,0
43,4952cb,TAP782  ,Portugal,1714314571.0,1714314571,1.7033,49.3875,11536.68,False,254.78,40.25,-2.6,,11452.86,1165,False,0,0
44,acdfa0,WUP929  ,United States,1714314561.0,1714314563,-79.7322,38.7132,9144.0,False,229.39,231.92,-0.33,,9494.52,0416,False,0,0
45,00b22c,SAA041  ,South Africa,1714314572.0,1714314572,28.0737,-26.0542,4587.24,False,141.18,148.11,-2.93,,4922.52,,False,0,0
46,acdfa3,ASA458  ,United States,1714314572.0,1714314572,-104.7131,41.2251,10972.8,False,231.37,252.53,0.0,,10972.8,4730,False,0,0
47,a10e8b,UAL1913 ,United States,1714314572.0,1714314572,-92.6667,31.1985,11582.4,False,232.06,247.59,0.33,,12001.5,5625,False,0,0
48,a3a575,JBU455  ,United States,1714314462.0,1714314464,-77.0411,38.8537,,True,0.45,329.06,,,,3474,False,0,0
49,511167,ESSKI   ,Estonia,1714314571.0,1714314571,24.8638,59.4132,,True,10.29,272.81,,,,,False,0,0
50,402ab6,GBOIL   ,United Kingdom,1714314572.0,1714314572,-2.6625,53.6002,960.12,False,37.18,255.58,0.33,,914.4,,False,0,0
51,a4d87f,N411GT  ,United States,1714314571.0,1714314571,-82.7283,27.3933,1432.56,False,77.56,331.91,3.25,,1485.9,0154,False,0,0
52,8a02f1,LNI989  ,Indonesia,1714314486.0,1714314486,104.1954,1.2075,571.5,False,83.05,221.99,-2.6,,640.08,,False,0,0
53,abacb6,SCX941  ,United States,1714314572.0,1714314573,-85.9549,32.121,12496.8,False,233.71,166.64,0.0,,12908.28,1156,False,0,0
54,ac96be,AAL1220 ,United States,1714314571.0,1714314571,-100.0139,28.9659,10355.58,False,221.58,342.15,0.98,,10751.82,3522,False,0,0
55,aa69db,ENY3641 ,United States,1714314527.0,1714314527,-97.988,34.9015,8526.78,False,180.0,163.22,-2.93,,8694.42,,False,0,1
56,801622,IGO1454 ,India,1714314516.0,1714314516,56.5575,25.3015,7185.66,False,233.19,98.76,8.45,,7467.6,,False,0,0
57,80160e,IGO856  ,India,1714314460.0,1714314494,84.4744,24.8411,10972.8,False,186.07,301.32,0.0,,11529.06,1313,False,0,0
58,a1fb48,N227CV  ,United States,1714314572.0,1714314572,-79.7123,34.253,6705.6,False,224.08,113.98,0.0,,6987.54,,False,0,0
59,ab76eb,JRE838  ,United States,1714314572.0,1714314572,-86.9934,28.8464,12192.0,False,190.56,310.18,0.0,,12626.34,2315,False,0,0
60,511159,JAF44J  ,Estonia,1714314572.0,1714314572,2.0796,49.0783,10050.78,False,197.31,229.12,-0.33,,9944.1,7115,False,0,0
61,4952c9,TAP831  ,Portugal,1714314568.0,1714314572,-5.6655,39.6928,11262.36,False,221.82,254.26,0.33,,11262.36,4026,False,0,0
62,a5e550,N4793F  ,United States,1714314571.0,1714314573,-122.5414,47.6846,548.64,False,47.56,164.31,-0.33,,510.54,,False,0,0
63,511154,JAF1VH  ,Estonia,1714314572.0,1714314572,4.486,50.904,,True,0.0,154.69,,,,1000,False,0,0
64,a09273,N136KY  ,United States,1714314416.0,1714314418,-71.7015,42.2185,335.28,False,60.04,70.48,-2.28,,358.14,,False,0,0
65,a46e40,DAL946  ,United States,1714314572.0,1714314572,-102.0166,35.5081,10675.62,False,259.7,82.95,0.33,,10759.44,,False,0,0
66,aa56b8,UAL1120 ,United States,1714314572.0,1714314572,-90.2414,32.6048,11582.4,False,239.36,178.03,0.0,,11978.64,6225,False,0,0
67,c07d1a,HRT373  ,Canada,1714314562.0,1714314562,-80.8576,33.6246,12192.0,False,210.51,187.16,0.0,,12611.1,0512,False,0,0
68,a57b4d,UAL1362 ,United States,1714314572.0,1714314572,-104.689,39.7135,2529.84,False,96.21,0.61,-4.88,,2537.46,3556,False,0,0
69,ad5623,AAL2599 ,United States,1714314573.0,1714314573,-117.087,34.7488,10005.06,False,239.31,84.45,6.83,,10264.14,6716,False,0,0
70,aa56b4,UAL2161 ,United States,1714314571.0,1714314571,-88.8875,30.1484,9753.6,False,220.05,258.4,-0.33,,10134.6,,False,0,0
71,aa56b3,UAL2052 ,United States,1714314571.0,1714314571,-81.0802,30.519,11582.4,False,224.25,183.68,0.33,,12009.12,5720,False,0,0
72,a6c8cd,VJA536  ,United States,1714314572.0,1714314572,-80.2401,38.4739,12192.0,False,229.25,195.22,0.33,,12542.52,3655,False,0,0
73,ad3c27,DAL2223 ,United States,1714314572.0,1714314572,-82.203,29.683,502.92,False,110.3,72.07,5.2,,571.5,,False,0,1
74,4952c1,TAP72PA ,Portugal,1714314572.0,1714314572,-6.5672,40.9052,11574.78,False,237.28,33.41,0.0,,11544.3,2201,False,0,0
75,4952c3,TAP1359 ,Portugal,1714314561.0,1714314562,-4.8265,45.8773,10660.38,False,222.4,202.29,0.0,,10546.08,5405,False,0,0
76,a22248,N2368P  ,United States,1714314573.0,1714314573,-81.5528,28.3446,243.84,False,30.46,232.55,0.65,,259.08,,False,0,0
77,801626,AIC610  ,India,1714314525.0,1714314525,77.162,14.4508,9212.58,False,225.84,322.87,8.13,,9791.7,,False,0,0
78,acdfab,DAL2052 ,United States,1714314571.0,1714314571,-80.5298,35.8849,10058.4,False,224.21,53.87,0.0,,10462.26,2557,False,0,1
79,4952c6,TAP1242 ,Portugal,1714314572.0,1714314572,-8.1455,39.5661,8884.92,False,213.94,49.88,6.18,,8839.2,5444,False,0,0
80,a0e250,AAL356  ,United States,1714314572.0,1714314572,-111.8524,33.4416,1234.44,False,128.06,79.82,6.18,,1242.06,,False,0,0
81,4952c8,TAP834A ,Portugal,1714314569.0,1714314569,10.8181,41.4165,7940.04,False,214.31,70.22,-7.8,,8191.5,2230,False,0,0
82,4b180c,SWR2411 ,Switzerland,1714314572.0,1714314572,6.5998,46.0343,5067.3,False,186.63,303.65,-8.13,,5181.6,1000,False,0,0
83,acf9cf,SCA35   ,United States,1714314570.0,1714314570,-112.4973,34.299,3009.9,False,43.78,2.69,0.0,,3055.62,,False,0,0
84,488252,SAH48P  ,Poland,1714314571.0,1714314571,-1.9781,40.8284,12192.0,False,250.12,27.57,-0.33,,12268.2,,False,0,0
85,407a05,EZY2613 ,United Kingdom,1714314572.0,1714314572,14.2168,45.9872,11887.2,False,232.08,135.0,0.0,,12092.94,2256,False,0,0
86,801631,IGO76N  ,India,1714314567.0,1714314567,79.5624,15.134,4572.0,False,131.63,41.04,-0.33,,4762.5,,False,0,0
87,a72530,VNT56   ,United States,1714314572.0,1714314572,-110.5298,35.1097,10126.98,False,241.91,45.26,3.58,,10256.52,,False,0,0
88,a7cea1,N6019Z  ,United States,1714314561.0,1714314561,-86.1432,39.6939,1181.1,False,86.59,330.85,0.0,,1226.82,,False,0,0
89,ac2f5a,SWA3306 ,United States,1714314562.0,1714314562,-115.1462,36.0796,,True,1.29,348.75,,,,,False,0,0
90,ae26a1,,United States,,1714314435,,,,False,52.58,16.48,0.33,,,,False,0,13
91,ad694c,SWA6489 ,United States,1714314571.0,1714314573,-72.2281,40.4606,10462.26,False,246.52,216.94,10.08,,10767.06,,False,0,0
92,407a06,EZY3059 ,United Kingdom,1714314572.0,1714314572,6.3642,51.3553,10660.38,False,227.29,121.68,0.65,,10622.28,5204,False,0,0
93,a46e35,DAL800  ,United States,1714314571.0,1714314571,-106.3744,41.858,10363.2,False,223.33,263.12,0.0,,10370.82,6704,False,0,0
94,39de40,TVF50NR ,France,1714314572.0,1714314572,1.3543,44.2533,11582.4,False,252.58,356.38,0.0,,11612.88,1476,False,0,0
95,a2222d,N2367X  ,United States,1714314570.0,1714314570,-71.2709,42.3023,1188.72,False,67.91,179.13,0.0,,1196.34,,False,0,0
96,7c6b13,JST217  ,Australia,1714314502.0,1714314507,144.8422,-37.6693,,True,0.45,351.56,,,,,False,0,0
97,4b180a,SWR4GV  ,Switzerland,1714314298.0,1714314568,8.5581,47.4534,396.24,True,0.0,5.62,,,,2000,False,0,0
98,3c6669,DLH5LX  ,Germany,1714314571.0,1714314571,14.0246,41.6507,6591.3,False,171.27,170.14,-7.8,,6842.76,1000,False,0,1
99,44028c,EJU39WY ,Austria,1714314572.0,1714314572,6.6474,44.4381,11574.78,False,239.07,327.75,0.33,,11719.56,1000,False,0,0
100,3c6667,DLH9VT  ,Germany,1714314514.0,1714314519,8.5285,50.0347,,True,0.0,247.5,,,,,False,0,0
101,3c6666,DLH53U  ,Germany,1714314572.0,1714314572,11.9303,48.2554,3002.28,False,136.15,257.12,17.23,,3108.96,6650,False,0,0
102,ab0f8e,N8111   ,United States,1714314570.0,1714314570,-79.3703,42.0808,2392.68,False,68.84,253.05,0.0,,2453.64,,False,0,0
103,abacd2,UAL461  ,United States,1714314526.0,1714314526,-96.2242,36.5065,5455.92,False,192.38,330.35,8.45,,5532.12,,False,0,0
104,4acb01,NSZ3158 ,Sweden,1714314568.0,1714314569,24.9706,60.3192,,True,3.34,267.19,,,,0263,False,0,0
105,e4943f,GLO7714 ,Brazil,1714314571.0,1714314571,-55.4993,-20.6635,10972.8,False,231.29,291.26,0.0,,11711.94,,False,0,0
106,4acb03,NSZ2CP  ,Sweden,1714314498.0,1714314503,17.9285,59.6503,,True,0.0,11.25,,,,2301,False,0,0
107,4acb04,NSZ5DM  ,Sweden,1714314561.0,1714314562,-2.6024,42.6222,10363.2,False,259.97,24.18,-0.33,,10332.72,4630,False,0,0
108,51116f,MBU6519 ,Estonia,1714314571.0,1714314571,7.6628,52.9874,10241.28,False,264.6,49.65,-20.16,,10218.42,3371,False,0,0
109,ad3c1f,ASA512  ,United States,1714314571.0,1714314571,-121.529,36.9023,8267.7,False,232.14,127.71,6.5,,8488.68,1775,False,0,0
110,3d23a3,DELTB   ,Germany,1714314570.0,1714314572,9.0847,51.4254,1524.0,False,55.91,190.07,0.0,,1562.1,1344,False,0,0
111,3c6664,DLH9YX  ,Germany,1714314572.0,1714314572,16.0753,45.6292,10675.62,False,238.99,139.45,0.0,,10888.98,6413,False,0,0
112,abb3b6,AAL875  ,United States,1714314572.0,1714314572,-80.8242,29.3875,10972.8,False,225.56,170.15,0.0,,11399.52,,False,0,1
113,3c6662,DLH3KA  ,Germany,1714314572.0,1714314572,4.7918,52.5723,1074.42,False,106.75,276.92,-2.28,,1059.18,1000,False,0,0
114,3c6677,DLH882  ,Germany,1714314572.0,1714314572,24.5305,59.4137,586.74,False,96.25,88.16,-0.65,,693.42,7725,False,0,0
115,a2d2eb,ENY3376 ,United States,1714314291.0,1714314291,-111.9949,33.4365,,True,0.45,123.75,,,,,False,0,0
116,e80260,LPE2421 ,Chile,,1714314573,,,,False,212.79,325.04,0.0,,,,False,0,0
117,a4be27,N4042M  ,United States,1714314564.0,1714314567,-80.28,25.6145,853.44,False,91.35,283.02,0.0,,937.26,,False,0,0
118,511171,MBU6449 ,Estonia,1714314572.0,1714314572,-5.0281,38.5655,11445.24,False,255.39,44.18,2.6,,11475.72,5443,False,0,0
119,3c666e,DLH93N  ,Germany,1714314572.0,1714314572,8.4163,49.4744,5044.44,False,176.06,197.16,7.48,,5128.26,0133,False,0,0
120,3c666b,DLH92K  ,Germany,1714314572.0,1714314572,4.13,42.1949,10660.38,False,202.54,204.94,-0.33,,10789.92,2502,False,0,0
121,a45b5b,N380AS  ,United States,1714314325.0,1714314325,-75.2452,40.1491,114.3,False,48.37,231.91,-3.58,,152.4,3610,False,0,0
122,e80267,LPE2272 ,Chile,1714314569.0,1714314569,-79.5124,-7.3125,3764.28,False,178.31,333.07,-8.78,,9867.9,,False,0,0
123,402aee,GBOJW   ,United Kingdom,1714314426.0,1714314426,-1.5016,50.768,533.4,False,41.24,273.58,0.33,,533.4,,False,0,0
124,3d23b9,DELTX   ,Germany,1714314524.0,1714314527,9.6513,53.9256,640.08,False,60.72,358.54,-0.33,,678.18,7000,False,0,0
125,3c6672,DLH32A  ,Germany,1714314571.0,1714314571,9.1215,49.9691,2468.88,False,173.32,13.21,-3.9,,2529.84,1000,False,0,0
126,48cb15,TVP7266 ,Poland,1714314571.0,1714314571,21.1365,47.51,10668.0,False,226.07,163.34,0.0,,10888.98,4446,False,0,0
127,e48d5c,AZU2898 ,Brazil,1714314525.0,1714314527,-46.5615,-23.3436,5486.4,False,117.16,304.81,-0.33,,5836.92,,False,0,0
128,3c6671,DLH1293 ,Germany,1714314150.0,1714314564,35.4908,33.8183,7307.58,False,0.0,0.0,8.13,,4792.98,7236,False,0,0
129,3c6670,DLH11F  ,Germany,1714314572.0,1714314572,8.2883,43.1894,10675.62,False,209.51,221.72,0.0,,10866.12,6663,False,0,0
130,402af3,GBOJS   ,United Kingdom,1714314567.0,1714314570,0.4282,51.6157,632.46,False,55.91,100.07,0.0,,624.84,,False,0,0
131,a34e9d,DAL1717 ,United States,1714314571.0,1714314572,-105.4078,40.9905,10972.8,False,226.72,245.18,0.0,,10980.42,6222,False,0,0
132,e8025f,LPE2017 ,Chile,1714314357.0,1714314494,-75.3851,-12.8802,10226.04,False,236.48,102.95,0.0,,10904.22,,False,0,0
133,ac234f,UAL1402 ,United States,1714314571.0,1714314571,-86.9752,35.6938,9448.8,False,222.89,57.15,0.0,,9822.18,7467,False,0,0
134,a39bfa,UAL1330 ,United States,1714314561.0,1714314561,-103.8594,41.7495,10972.8,False,227.56,242.68,0.0,,10927.08,1702,False,0,1
135,ac101f,SWA3837 ,United States,1714314522.0,1714314561,-107.9294,35.0289,11582.4,False,202.52,266.65,-0.65,,11734.8,,False,0,0
136,a35592,JBU1822 ,United States,1714314571.0,1714314571,-72.577,41.3408,7010.4,False,220.18,63.2,-0.33,,7246.62,5662,False,0,0
137,3c667a,DLH6UX  ,Germany,1714314571.0,1714314571,8.9621,50.1292,1432.56,False,95.44,248.83,-4.23,,1493.52,1000,False,0,0
138,acdffc,DAL774  ,United States,1714314527.0,1714314529,-86.372,35.9412,9753.6,False,245.0,307.66,0.0,,10126.98,4416,False,0,0
139,a3a538,FFT1115 ,United States,1714314570.0,1714314570,-86.8487,32.5917,10972.8,False,233.53,206.0,0.0,,11384.28,1122,False,0,0
140,471efe,WZZ6013 ,Hungary,1714314571.0,1714314571,1.245,41.2594,10660.38,False,200.9,256.68,0.0,,10767.06,4034,False,0,0
141,47887e,BNOV    ,Norway,1714314524.0,1714314526,9.6512,63.3495,6705.6,False,86.77,258.02,0.33,,6621.78,,False,0,0
142,ad90a3,AAL1364 ,United States,1714314572.0,1714314572,-97.0726,32.707,2407.92,False,127.07,217.1,9.43,,2423.16,,False,0,4
143,471efc,WZZ4256 ,Hungary,1714314568.0,1714314571,17.4934,53.7077,10675.62,False,242.75,124.9,0.0,,10736.58,6510,False,0,4
144,e80277,LPE2407 ,Chile,1714314522.0,1714314561,-76.0005,-13.0243,11582.4,False,220.17,293.99,0.0,,12382.5,,False,0,0
145,801663,,India,,1714314471,,,,False,204.41,324.63,0.0,,,,False,0,0
146,e80276,LPE2365 ,Chile,1714314566.0,1714314566,-77.1147,-12.021,,True,28.29,146.25,,,,,False,0,0
147,801661,IGO89V  ,India,1714314569.0,1714314569,88.45,22.6731,,True,1.54,149.06,,,,1306,False,0,0
148,801662,IGO1054 ,India,1714314526.0,1714314526,77.215,28.5152,853.44,False,86.34,283.79,0.0,,792.48,,False,0,0
149,4b1870,PJZ037  ,Switzerland,1714314572.0,1714314573,13.8694,48.7097,13106.4,False,221.65,294.84,0.0,,13251.18,3550,False,0,0
150,e80275,LPE2130 ,Chile,1714314570.0,1714314570,-77.1904,-12.0412,1508.76,False,137.55,328.93,14.96,,1592.58,,False,0,0
151,44029f,AUA785B ,Austria,1714314573.0,1714314573,22.8702,45.6301,10668.0,False,233.78,117.52,-0.33,,10927.08,1000,False,0,0
152,e8026a,LAN462  ,Chile,1714314569.0,1714314572,-59.8753,-34.6641,7467.6,False,191.56,277.72,5.2,,7688.58,0326,False,0,0
153,ace6e2,AAL1502 ,United States,1714314572.0,1714314572,-85.0055,41.2464,9753.6,False,227.06,272.34,0.0,,10081.26,3461,False,0,1
154,80165e,AXB1129 ,India,1714314570.0,1714314570,85.3098,21.0613,11582.4,False,209.27,241.36,0.0,,12283.44,5412,False,0,0
155,e8026c,LAN575  ,Chile,1714314572.0,1714314572,-79.0734,-8.2323,12496.8,False,254.57,165.01,0.0,,,,False,0,0
156,801669,IGO259N ,India,1714314570.0,1714314570,77.6539,13.2341,11879.58,False,240.65,183.31,0.0,,12618.72,,False,0,0
157,407a3b,GCLNN   ,United Kingdom,1714314571.0,1714314572,8.0556,52.0725,990.6,False,31.89,252.15,-0.33,,998.22,6104,False,0,0
158,3d6008,DFIPS   ,Germany,1714314572.0,1714314572,-3.8865,53.2714,1021.08,False,44.86,63.43,2.28,,1013.46,1177,False,0,0
159,a5e509,,United States,1714314569.0,1714314569,-80.6498,27.9408,525.78,False,49.84,11.31,0.33,,579.12,,False,0,0
