,icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,true_track,vertical_rate,sensors,geo_altitude,squawk,spi,position_source,category
0,4b1815,SWR9YP  ,Switzerland,1714315054.0,1714315054,2.0809,50.0492,11582.4,False,229.11,310.63,0.0,,11490.96,3027,False,0,0
1,a09281,N136LM  ,United States,1714314999.0,1714314999,-85.1958,34.564,2042.16,False,44.53,139.69,0.0,,2179.32,,False,0,0
2,e8027b,LAN535  ,Chile,1714314735.0,1714315053,-76.7623,-13.7006,9220.2,False,262.16,165.34,8.78,,9875.52,,False,0,0
3,ac96b8,AAL622  ,United States,1714315055.0,1714315055,-72.3639,41.8317,8534.4,False,216.78,239.48,0.0,,8801.1,,False,0,0
4,e8027e,LPE2119 ,Chile,1714315053.0,1714315053,-75.9166,-12.9082,8077.2,False,221.48,131.99,3.9,,8602.98,,False,0,0
5,a5cb05,N4721B  ,United States,1714315053.0,1714315053,-81.9191,28.2937,274.32,False,32.22,19.59,-2.28,,342.9,,False,0,0
6,aa56db,UAL2331 ,United States,1714315054.0,1714315054,-79.4192,35.4753,10759.44,False,214.81,35.25,-4.88,,11148.06,,False,0,0
7,a7b08d,LXJ595  ,United States,1714315054.0,1714315054,-72.7927,42.8438,6705.6,False,177.35,279.52,-0.33,,6896.1,,False,0,0
8,88044a,AIQ3168 ,Thailand,1714314862.0,1714314862,99.8442,12.4307,11887.2,False,233.52,183.66,0.0,,12717.78,,False,0,0
9,a22258,N23685  ,United States,1714315039.0,1714315049,-79.1962,36.6138,1554.48,False,86.89,70.28,-0.33,,1668.78,,False,0,0
10,4a8e07,SECPG   ,Sweden,1714315054.0,1714315054,17.6918,59.3505,76.2,False,32.02,113.68,-0.33,,,7000,False,0,0
11,7c6b2d,JST988  ,Australia,1714315054.0,1714315054,116.9051,-32.0351,5806.44,False,206.5,293.18,-15.28,,6088.38,3633,False,0,0
12,a808bb,N61697  ,United States,1714315052.0,1714315053,-81.5427,27.6451,1341.12,False,57.62,0.0,-0.98,,1417.32,,False,0,0
13,88044d,AIQ3444 ,Thailand,1714315053.0,1714315053,99.441,17.8737,7635.24,False,224.52,162.4,9.1,,8176.26,,False,0,0
14,801641,AXB1596 ,India,1714315053.0,1714315054,77.8819,13.1984,3276.6,False,117.48,107.32,9.1,,3383.28,,False,0,0
15,abd9d9,SWA5052 ,United States,1714314979.0,1714314979,-115.1455,36.0817,,True,5.92,331.88,,,,6672,False,0,0
16,ade191,DAL2473 ,United States,1714315054.0,1714315054,-79.8255,40.4658,9753.6,False,220.41,282.67,0.0,,10119.36,2641,False,0,0
17,801640,AIC802  ,India,1714315054.0,1714315054,77.6453,13.7007,10972.8,False,231.32,3.06,0.0,,11681.46,,False,0,0
18,a665b9,LXJ511  ,United States,1714315054.0,1714315054,-81.3338,29.4605,13716.0,False,232.34,356.95,-0.65,,14173.2,,False,0,0
19,880459,AIQ3259 ,Thailand,1714315026.0,1714315026,102.1253,15.6192,7193.28,False,213.24,218.14,6.83,,7711.44,,False,0,0
20,801643,AXB1643 ,India,1714315054.0,1714315054,81.2926,14.6722,11582.4,False,229.47,222.09,0.0,,12321.54,,False,0,0
21,880453,AIQ523  ,Thailand,1714315025.0,1714315045,101.0542,12.3077,10972.8,False,238.5,227.54,-0.33,,11803.38,,False,0,0
22,80162e,VTI813  ,India,1714315054.0,1714315054,78.448,15.8893,10668.0,False,235.58,188.41,0.0,,11338.56,,False,0,0
23,aaf633,UAL2041 ,United States,1714314804.0,1714314804,-109.0312,42.7372,10965.18,False,220.55,259.11,0.0,,10972.8,4052,False,0,0
24,a678e5,JTZ516  ,United States,1714315036.0,1714315055,-115.1603,36.0996,,True,0.0,112.5,,,,,False,0,0
25,880455,AIQ158  ,Thailand,1714314821.0,1714314821,99.896,14.9424,10972.8,False,232.71,346.58,0.0,,11772.9,,False,0,0
26,e49405,GLO7682 ,Brazil,1714315019.0,1714315025,-55.7908,-32.4853,11582.4,False,188.17,223.12,-0.33,,12054.84,,False,0,0
27,a34230,EJA309  ,United States,1714315055.0,1714315055,-74.4143,40.4303,5113.02,False,183.71,120.08,0.33,,5303.52,3040,False,0,0
28,a21b85,EPI235  ,United States,1714315053.0,1714315053,-81.0965,28.9526,746.76,False,57.45,253.35,-2.28,,815.34,,False,0,0
29,4b1805,SWR5KP  ,Switzerland,1714315053.0,1714315054,4.7781,52.2931,381.0,False,60.24,182.45,11.05,,373.38,1000,False,0,0
30,39d228,FHURI   ,France,1714315054.0,1714315054,8.8613,39.7757,3352.8,False,98.94,334.1,0.0,,3505.2,,False,0,0
31,a34e6a,ENY3650 ,United States,1714315055.0,1714315055,-82.2894,26.6382,9448.8,False,249.04,131.06,0.0,,9921.24,4013,False,0,0
32,4b1806,SWR210A ,Switzerland,1714315054.0,1714315054,5.6925,45.8005,5227.32,False,205.87,29.0,-10.4,,5341.62,1000,False,0,0
33,aa56d4,UAL1306 ,United States,1714315054.0,1714315054,-76.38,43.0949,10980.42,False,201.21,268.53,0.0,,11277.6,3462,False,0,0
34,a90ea8,DAL2343 ,United States,1714315053.0,1714315054,-81.1296,26.9009,7452.36,False,231.1,323.69,8.13,,7802.88,,False,0,0
35,4b1807,,Switzerland,1714315051.0,1714315051,12.6138,55.5989,175.26,False,73.57,222.17,11.05,,175.26,,False,0,0
36,4b1809,SWR890M ,Switzerland,1714315046.0,1714315053,8.5557,47.4544,,True,0.0,185.62,,,,2000,False,0,0
37,51111e,JAF9MH  ,Estonia,1714315053.0,1714315054,1.7671,48.967,10568.94,False,201.87,233.39,2.93,,10439.4,7143,False,0,0
38,801647,IGO277W ,India,1714315054.0,1714315054,78.3457,27.7667,9136.38,False,256.83,112.87,5.2,,9525.0,,False,0,0
39,4b1800,SWR1958 ,Switzerland,1714315055.0,1714315055,5.8965,45.0861,10668.0,False,183.52,199.15,0.0,,10789.92,3042,False,0,0
40,4b1801,SWR2MX  ,Switzerland,1714315055.0,1714315055,9.6926,47.7209,6179.82,False,183.9,291.33,-11.38,,6347.46,1000,False,0,0
41,801657,AIC667  ,India,1714315038.0,1714315040,77.0924,10.0136,8534.4,False,214.72,150.43,-8.78,,9060.18,,False,0,0
42,aa9f3f,SWA4128 ,United States,1714315054.0,1714315054,-111.3704,33.9015,5326.38,False,183.97,233.64,-5.53,,5440.68,3602,False,0,0
43,880443,AIQ5421 ,Thailand,1714314520.0,1714314851,98.9625,18.6178,1089.66,False,6.94,180.0,,,1089.66,,False,0,0
44,4952cb,TAP782  ,Portugal,1714315054.0,1714315054,2.9212,50.2586,10980.42,False,260.21,35.26,0.0,,10888.98,1165,False,0,0
45,80163f,VTI722  ,India,1714315049.0,1714315049,79.6559,27.6956,10126.98,False,184.17,287.73,-2.6,,10561.32,,False,0,0
46,acdfa0,WUP929  ,United States,1714315054.0,1714315054,-80.7306,37.9532,9144.0,False,231.14,222.93,0.0,,9502.14,3651,False,0,0
47,00b22c,SAA041  ,South Africa,1714315054.0,1714315054,28.2421,-26.1843,1684.02,False,72.64,15.61,-3.9,,1851.66,,False,0,0
48,a928ba,CWG69   ,United States,1714315055.0,1714315055,-10.1262,52.9574,6141.72,False,206.63,291.77,8.45,,6035.04,,False,0,0
49,acdfa3,ASA458  ,United States,1714315055.0,1714315055,-106.0133,40.9899,10972.8,False,226.21,256.18,0.0,,10988.04,7056,False,0,0
50,a10e8b,UAL1913 ,United States,1714315053.0,1714315053,-93.7391,31.1738,9989.82,False,226.29,225.92,-4.55,,10393.68,5625,False,0,0
51,511163,IGO260F ,Estonia,1714315054.0,1714315054,76.736,28.0432,4472.94,False,213.01,217.84,4.88,,4632.96,,False,0,0
52,ac230c,N881RJ  ,United States,1714315055.0,1714315055,-82.3693,27.1565,640.08,False,57.93,70.28,0.0,,754.38,5201,False,0,0
53,511167,ESSKI   ,Estonia,1714315008.0,1714315008,24.815,59.4168,,True,1.29,92.81,,,,,False,0,0
54,402ab6,GBOIL   ,United Kingdom,1714315053.0,1714315054,-2.6054,53.6963,1066.8,False,48.42,165.23,-1.95,,1028.7,7365,False,0,0
55,a4d87f,N411GT  ,United States,1714315055.0,1714315055,-82.8344,27.7442,1889.76,False,83.75,354.36,-0.33,,2026.92,6453,False,0,0
56,abacb6,SCX941  ,United States,1714315054.0,1714315054,-85.3038,31.2332,12496.8,False,240.96,138.72,0.0,,12923.52,1156,False,0,0
57,ac96be,AAL1220 ,United States,1714315054.0,1714315054,-100.124,29.6998,10050.78,False,206.84,278.15,-0.65,,10424.16,3522,False,0,0
58,aa69db,ENY3641 ,United States,1714315054.0,1714315054,-97.6853,34.0666,5829.3,False,185.72,163.42,-8.45,,5958.84,,False,0,1
59,801622,IGO1454 ,India,1714314719.0,1714314786,57.0052,25.1476,8823.96,False,254.53,112.83,6.18,,9273.54,,False,0,0
60,ab76eb,JRE838  ,United States,1714315055.0,1714315055,-87.7656,29.4169,9753.6,False,202.68,309.95,0.0,,10142.22,2315,False,0,0
61,511159,JAF44J  ,Estonia,1714315053.0,1714315054,0.9967,48.5359,10058.4,False,202.93,235.22,0.0,,9944.1,7115,False,0,0
62,4952c9,TAP831  ,Portugal,1714315054.0,1714315054,-6.8784,39.3589,11285.22,False,227.01,245.64,-0.33,,11285.22,4026,False,0,0
63,a5e550,N4793F  ,United States,1714315054.0,1714315054,-122.3397,47.5517,243.84,False,60.39,81.18,-3.25,,236.22,,False,0,0
64,a09273,N136KY  ,United States,1714315054.0,1714315054,-71.2361,42.3236,335.28,False,59.39,75.96,0.98,,350.52,,False,0,0
65,a46e40,DAL946  ,United States,1714315055.0,1714315055,-100.683,35.8337,10675.62,False,249.68,73.36,0.65,,10774.68,,False,0,0
66,aa56b8,UAL1120 ,United States,1714315053.0,1714315054,-90.198,31.5476,11841.48,False,232.14,178.1,2.6,,12245.34,6225,False,0,0
67,c07d1a,HRT373  ,Canada,1714315054.0,1714315054,-81.0046,32.6273,12192.0,False,211.02,187.14,-0.33,,12618.72,0512,False,0,0
68,a57b4d,UAL1362 ,United States,1714314997.0,1714314997,-104.6851,39.8627,,True,11.83,180.0,,,,5312,False,0,0
69,ad5623,AAL2599 ,United States,1714315054.0,1714315055,-115.7911,34.791,11277.6,False,262.91,90.78,0.0,,11521.44,6716,False,0,0
70,aa56b4,UAL2161 ,United States,1714315053.0,1714315054,-90.0181,29.9406,9753.6,False,216.62,258.08,0.0,,10142.22,,False,0,0
71,aa56b3,UAL2052 ,United States,1714315054.0,1714315054,-81.126,29.5035,11582.4,False,224.98,182.23,0.0,,12024.36,5720,False,0,0
72,a6c8cd,VJA536  ,United States,1714315053.0,1714315054,-80.5764,37.4937,12192.0,False,230.11,195.03,0.0,,12550.14,3655,False,0,0
73,ad3c27,DAL2223 ,United States,1714315053.0,1714315054,-82.5026,30.4258,5181.6,False,210.84,337.63,8.78,,5448.3,,False,0,1
74,4952c1,TAP72PA ,Portugal,1714315054.0,1714315054,-5.7685,41.8109,11582.4,False,240.28,33.83,0.0,,11551.92,2201,False,0,0
75,4952c3,TAP1359 ,Portugal,1714315051.0,1714315052,-5.4053,44.8933,10668.0,False,227.79,203.84,0.0,,10561.32,5405,False,0,0
76,801625,AIC661  ,India,1714315031.0,1714315031,74.9798,14.0635,11277.6,False,234.21,153.66,0.0,,11986.26,,False,0,0
77,a22248,N2368P  ,United States,1714315054.0,1714315054,-81.5566,28.3358,304.8,False,19.98,145.49,-0.65,,320.04,,False,0,0
78,801626,AIC610  ,India,1714315053.0,1714315053,76.5001,15.2993,11582.4,False,223.17,322.68,0.0,,12313.92,,False,0,0
79,acdfab,DAL2052 ,United States,1714315055.0,1714315055,-79.5269,36.4557,10066.02,False,227.58,56.53,0.0,,10469.88,2557,False,0,1
80,4952c6,TAP1242 ,Portugal,1714315055.0,1714315055,-7.1113,40.228,10927.08,False,249.65,50.6,1.95,,10888.98,5444,False,0,0
81,a0e250,AAL356  ,United States,1714315054.0,1714315054,-110.9443,33.6086,5547.36,False,206.61,71.57,8.45,,5661.66,,False,0,0
82,4952c8,TAP834A ,Portugal,1714315054.0,1714315054,11.709,41.8776,3558.54,False,159.66,33.43,-6.5,,3726.18,2230,False,0,0
83,a33b23,UPS237  ,United States,1714315054.0,1714315054,-74.7212,39.8669,4495.8,False,207.29,41.88,12.03,,4625.34,,False,0,0
84,4b180c,SWR2411 ,Switzerland,1714315054.0,1714315054,6.4923,46.4901,2346.96,False,85.62,265.87,-1.3,,2430.78,1000,False,0,0
85,acf9cf,SCA35   ,United States,1714315054.0,1714315054,-112.489,34.4957,3009.9,False,41.7,2.12,0.0,,3063.24,,False,0,0
86,488252,SAH48P  ,Poland,1714315054.0,1714315054,-1.2657,41.8455,12199.62,False,250.63,28.04,0.33,,12268.2,4665,False,0,0
87,407a05,EZY2613 ,United Kingdom,1714315054.0,1714315054,15.2711,45.2353,11871.96,False,228.1,135.64,0.0,,12100.56,2256,False,0,0
88,801631,IGO76N  ,India,1714315040.0,1714315041,79.9534,15.5679,4572.0,False,131.97,41.21,0.0,,4770.12,,False,0,0
89,a72530,VNT56   ,United States,1714315055.0,1714315055,-109.569,35.8448,11277.6,False,248.93,52.14,0.33,,11391.9,,False,0,0
