,icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,true_track,vertical_rate,sensors,geo_altitude,squawk,spi,position_source,category
0,4b1815,SWR9YP  ,Switzerland,1714315672.0,1714315672,0.8383,50.8201,6629.4,False,163.33,314.62,-8.13,,6530.34,3027,False,0,0
1,a09281,N136LM  ,United States,1714315669.0,1714315669,-84.9875,34.3506,1463.04,False,44.76,142.47,-0.65,,1584.96,,False,0,0
2,e8027b,LAN535  ,Chile,1714314735.0,1714315668,-76.7623,-13.7006,9220.2,False,256.69,165.02,0.0,,9875.52,,False,0,0
3,80162d,,India,,1714315664,,,,False,215.78,192.81,6.18,,,,False,0,0
4,ac96b8,AAL622  ,United States,1714315673.0,1714315673,-73.8185,41.1395,8534.4,False,237.17,231.34,0.0,,8823.96,1464,False,0,0
5,e8027e,LPE2119 ,Chile,1714315073.0,1714315649,-75.8865,-12.9353,8161.02,False,243.69,132.01,3.25,,8602.98,,False,0,0
6,a5cb05,N4721B  ,United States,1714315673.0,1714315673,-82.1301,28.2949,487.68,False,47.96,247.29,-1.3,,563.88,,False,0,0
7,aa3cbd,N759P   ,United States,1714315667.0,1714315667,-81.6256,41.351,662.94,False,83.32,16.87,-3.58,,701.04,5550,False,0,0
8,aa56db,UAL2331 ,United States,1714315673.0,1714315673,-78.5073,36.4068,8869.68,False,205.63,34.6,-6.83,,9227.82,2343,False,0,0
9,a7b08d,LXJ595  ,United States,1714315673.0,1714315673,-74.0781,42.9946,5128.26,False,173.31,278.71,-0.33,,5265.42,,False,0,0
10,a22258,N23685  ,United States,1714315672.0,1714315672,-79.054,36.4685,1249.68,False,81.01,208.03,-0.33,,1341.12,,False,0,0
11,7c6b2d,JST988  ,Australia,1714315672.0,1714315672,115.9883,-31.8607,335.28,False,74.62,193.56,-4.23,,434.34,3633,False,0,0
12,a808bb,N61697  ,United States,1714315670.0,1714315670,-81.5933,27.9342,1310.64,False,50.75,349.49,0.0,,1386.84,,False,0,0
13,48d254,SPWTW   ,Poland,1714315671.0,1714315671,23.052,51.5095,2590.8,False,87.91,343.69,0.33,,2727.96,,False,0,0
14,801641,AXB1596 ,India,1714315672.0,1714315672,77.0313,13.0346,7627.62,False,198.21,272.23,0.98,,8092.44,,False,0,0
15,ade191,DAL2473 ,United States,1714315673.0,1714315673,-81.3182,40.8782,9144.0,False,216.49,296.69,0.0,,9479.28,2641,False,0,0
16,801640,AIC802  ,India,1714315672.0,1714315672,77.7153,14.9978,10972.8,False,232.86,3.04,0.0,,11673.84,,False,0,0
17,a665b9,LXJ511  ,United States,1714315672.0,1714315672,-81.4091,30.7561,13716.0,False,232.78,357.34,0.0,,14157.96,,False,0,0
18,880459,AIQ3259 ,Thailand,1714315673.0,1714315673,101.3173,14.616,5455.92,False,206.74,217.93,-6.18,,5867.4,,False,0,0
